,p
DLK1,22
CXCL2,79
INHBA,153
COMP,94
CBLN2,46
HPD,33
OXTR,97
PDE1C,72
PENK,41
HSD17B6,132
CNN1,100
DACT2,4
PITX1,56
SLC24A2,80
CST4,72
HS3ST4,45
OVCH2,43
DLK2,63
