,V1
DLK1, 2.323340e-22
CXCL2, 5.875025e-79
INHBA,2.137757e-153
COMP, 1.147858e-94
CBLN2, 1.351069e-46
HPD, 3.666193e-33
OXTR, 2.943889e-97
PDE1C, 3.428175e-72
PENK, 6.175434e-41
HSD17B6,1.108308e-132
CNN1,3.180702e-100
DACT2, 2.369691e-54
PITX1, 2.041689e-56
SLC24A2, 2.622261e-80
CST4, 4.858759e-72
HS3ST4, 3.206781e-45
OVCH2, 5.102478e-43
DLK2, 1.824765e-63
