GO,Description,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
TRR00875,Regulated by: NFKB1,-2.2624071103347276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00645,Regulated by: JUN,-3.105554579758209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR01158,Regulated by: RELA,-2.283880243546358,0.0,0.0,0.0,0.0,0.0,-2.363793336915151,0.0
TRR01256,Regulated by: SP1,0.0,0.0,0.0,0.0,0.0,0.0,-3.817332314026286,-2.7682154035027864
