Cluster,Score,Type,Gene,Symbol,Network
1,3.25,Clustered,3815,KIT,_FINAL_SUB1
1,3.25,Clustered,5595,MAPK3,_FINAL_SUB1
1,3.25,Clustered,6464,SHC1,_FINAL_SUB1
1,3.25,Seed,8817,FGF18,_FINAL_SUB1
1,3.25,Clustered,3845,KRAS,_FINAL_SUB1
1,3.25,Clustered,2253,FGF8,_FINAL_SUB1
1,3.25,Clustered,2246,FGF1,_FINAL_SUB1
1,3.25,Clustered,3725,JUN,_FINAL_SUB1
2,1.0,Clustered,51176,LEF1,_FINAL_SUB1
2,1.0,Seed,4040,LRP6,_FINAL_SUB1
2,1.0,Clustered,1499,CTNNB1,_FINAL_SUB1
