"V2","V4"
"ZBTB33","MLX"
"ZBTB33","THY1"
"ZBTB33","ROCK1P1"
"ZBTB33","RPL13AP5"
"ZBTB33","UBE2D3"
"ZBTB33","UPK1B"
"ZBTB33","SNHG9"
"ZBTB33","XPC"
"ZBTB33","SF1"
"ZBTB33","MRPL57"
"ZBTB33","METTL16"
"ZBTB33","WDR77"
"ZBTB33","TRIM48"
"ZBTB33","SLC39A7"
"ZBTB33","SPAG16"
"ZBTB33","NOL9"
"ZBTB33","NUP214"
"ZBTB33","NCOA4"
"ZBTB33","COASY"
"ZBTB33","THAP7"
"ZBTB33","ZFP91"
"ZBTB33","ANKRD13C"
"ZBTB33","AIF1L"
"ZBTB33","THAP2"
"ZBTB33","GRWD1"
"ZBTB33","MAD1L1"
"ZBTB33","HASPIN"
"ZBTB33","SLC25A11"
"ZBTB33","ZCCHC7"
"ZBTB33","SNHG3"
"ZBTB33","POLDIP3"
"ZBTB33","BTBD10"
"ZBTB33","TMEM79"
"ZBTB33","NAA38"
"ZBTB33","JPH4"
"ZBTB33","CNFN"
"ZBTB33","SNORD35B"
"ZBTB33","MAK16"
"ZBTB33","CROCCP2"
"ZBTB33","OFD1"
"ZBTB33","ZNF341"
"ZBTB33","TMEM209"
"ZBTB33","FIBCD1"
"ZBTB33","WDR73"
"ZBTB33","STRIP1"
"ZBTB33","DENR"
"ZBTB33","NOP14"
"ZBTB33","RUNX3"
"ZBTB33","ALDH4A1"
"ZBTB33","MBTPS1"
"ZBTB33","FUBP1"
"ZBTB33","HERC1"
"ZBTB33","TOP3B"
"ZBTB33","RSPH1"
"ZBTB33","KBTBD6"
"ZBTB33","CEACAM21"
"ZBTB33","TM4SF5"
"ZBTB33","LRSAM1"
"ZBTB33","TMEM88"
"ZBTB33","MGME1"
"ZBTB33","SNAP29"
"ZBTB33","PAXBP1"
"ZBTB33","POLR1C"
"ZBTB33","RBM39"
"ZBTB33","RAB36"
"ZBTB33","DZIP3"
"ZBTB33","BZW1"
"ZBTB33","CD79A"
"ZBTB33","EIF4A3"
"ZBTB33","CDC5L"
"ZBTB33","SEPT7"
"ZBTB33","CDC20"
"ZNF263","LINC00910"
"ZNF263","FRAT1"
"ZNF263","FRG2C"
"ZNF263","IGLL5"
"ZNF263","FAM13A"
"ZNF263","EBI3"
"ZNF263","CDKN1A"
"ZNF263","DENND4A"
"ZNF263","APC2"
"ZNF263","LAMC3"
"ZNF263","CDO1"
"ZNF263","DNPH1"
"ZNF263","HEXIM1"
"ZNF263","RGS14"
"ZNF263","IGF2BP3"
"ZNF263","SEPT9"
"ZNF263","MAN1A2"
"ZNF263","RPL35"
"ZNF263","PMF1"
"ZNF263","PRRT2"
"ZNF263","NRM"
"ZNF263","ECD"
"ZNF263","TUBA3FP"
"ZNF263","MRGPRF"
"ZNF263","LRG1"
"ZNF263","SFXN2"
"ZNF263","HIGD2B"
"ZNF263","ANKRD13B"
"ZNF263","RAVER1"
"ZNF263","MRPL55"
"ZNF263","VSTM2L"
"ZNF263","TANGO2"
"ZNF263","RBM45"
"ZNF263","AP1S3"
"ZNF263","COL13A1"
"ZNF263","COMT"
"ZNF263","MAP3K8"
"ZNF263","PPARGC1B"
"ZNF263","NCOA7"
"ZNF263","CRKL"
"ZNF263","APOBEC3D"
"ZNF263","GLIPR1L2"
"ZNF263","CSNK1E"
"ZNF263","VCAN"
"ZNF263","UNC45B"
"ZNF263","CST6"
"ZNF263","SPACA6"
"ZNF263","EXOC8"
"ZNF263","LRRC71"
"ZNF263","LINC00896"
"ZNF263","YDJC"
"ZNF263","ARL6IP6"
"ZNF263","DARS"
"ZNF263","DBP"
"ZNF263","PAQR7"
"ZNF263","CCDC116"
"ZNF263","ZNF467"
"ZNF263","PPP1R18"
"ZNF263","TRDMT1"
"ZNF263","DPAGT1"
"ZNF263","DPEP1"
"ZNF263","DUSP6"
"ZNF263","ECE1"
"ZNF263","HIGD2A"
"ZNF263","EGR1"
"ZNF263","MUC20"
"ZNF263","UNC13D"
"ZNF263","EMX2"
"ZNF263","EREG"
"ZNF263","ETFB"
"ZNF263","ETS2"
"ZNF263","ETV3"
"ZNF263","BPTF"
"ZNF263","NYAP1"
"ZNF263","ALDOA"
