"GLasso-SVM"
"PIK3R1"
"PIK3CA"
"PENK"
"NQO2"
"NPY2R"
"NPR1"
"NDC80"
"NAT1"
"MYOC"
"MMP11"
"MLXIPL"
"MELK"
"TROAP"
"KIF20A"
"UBE2C"
"IQGAP3"
"KIF18B"
"SPC24"
"SKA1"
"ASPM"
"CEP55"
"SHC1"
"XRCC2"
"DIAPH3"
"ANGPTL7"
"TSPYL5"
"RAB6B"
"PAMR1"
"CILP2"
"TNMD"
"ENTHD1"
"CNIH2"
"RPE65"
"PFKFB1"
"RNF186"
"OVCH2"
