NNet
TMEM215
SLC24A2
CILP2
COL10A1
WISP1
LRRC15
COMP
CST4
PENK
CXCL2
KRAS
KLKP1
MMP11
FGF1
DLK1
HSD17B6
IL17B
CST1
OXTR
INHBA
PITX1
GJB2
HEYL
LRRC3B
GLRA4
COL11A1
DPP6
GABRD
NXPH1
FGF17
