"mRMR-SVM"
"ZZZ3"
"IGFBP6"
"LRP6"
"CTNNB1"
"ZBTB6"
"NFYA"
"FGF18"
"BCLAF1"
"KIT"
"MMP11"
"MAPK3"
"LIN9"
"AKT2"
"REL"
"GADD45B"
"MSH2"
"CCNT2"
"ALDH4A1"
"SMARCC1"
"CUX1"
"NXNL1"
"SMAD4"
"BACH1"
"SHC1"
"KCNJ16"
"COL4A2"
"BRF1"
"HBB"
"COMP"
"CREB1"
