"SVM-RFE"
"PAMR1"
"COL10A1"
"CEACAM6"
"OXTR"
"CES1"
"CXCL2"
"LRRC15"
"WISP1"
"ESM1"
"PENK"
"DACT2"
"HEY2"
"PDE1C"
"LYVE1"
"FOXF2"
"SLC24A2"
"PITX1"
"IL17B"
"MMP11"
"P2RX6"
"KCNE1"
"COMP"
"ELK1"
"SLC6A4"
"FGF8"
"LRRC3B"
"CILP2"
"ABCA10"
"KRAS"
"TNXB"
