RF
COL10A1
MMP11
TSLP
IBSP
PAMR1
CD300LG
COL11A1
FXYD1
ABCA10
LRRC3B
NEK2
HSD17B6
WISP1
MYH11
CCL11
INHBA
CST1
MESTIT1
DPP6
LRRC15
CA4
IGFBP6
BUB1
KCNE1
VIT
SCARA5
CLDN19
CXCL2
SLC24A2
OVCH2
