"CNet-SVM"
"ZBTB33"
"CTCF"
"E2F6"
"JUN"
"ELK1"
"HNF1A"
"EGR2"
"HEYL"
"DLK1"
"CXCL2"
"WNT10B"
"INHBA"
"COMP"
"CBLN2"
"HPD"
"OXTR"
"PDE1C"
"WNT4"
"PENK"
"HSD17B6"
"FGF8"
"FGF1"
"DLL1"
"CNN1"
"DACT2"
"PITX1"
"KRAS"
"SLC24A2"
"CST4"
"HS3ST4"
"OVCH2"
"DLK2"
