V1,V2
124,3
124,22
76,126
76,4
76,16
57,96
57,82
57,6
122,81
122,7
136,150
136,7
137,7
137,8
32,38
32,102
32,116
32,11
45,48
45,11
53,77
53,61
53,84
53,11
54,61
54,12
132,12
68,20
68,72
68,75
68,14
68,26
20,15
72,75
72,84
72,15
28,81
28,104
28,16
50,79
50,17
114,17
129,17
129,18
64,19
64,25
64,31
79,67
79,19
46,150
46,22
110,96
110,150
110,22
125,138
125,22
125,23
75,24
75,55
81,78
81,77
81,29
104,47
56,142
56,29
71,130
71,29
78,30
37,98
37,31
38,96
67,88
67,74
67,34
77,80
77,34
48,105
48,88
48,39
90,47
105,47
61,138
