V1,V2
2,126
2,140
2,141
2,1
40,52
40,70
40,1
53,61
53,101
53,77
53,84
53,1
61,54
61,1
126,76
141,146
141,3
101,106
101,52
101,3
101,4
124,3
124,22
76,63
76,4
76,16
28,121
28,81
28,104
28,5
28,16
80,58
80,77
80,5
36,60
36,6
49,55
49,65
49,6
49,16
57,97
57,96
57,6
58,97
58,55
58,7
122,81
122,7
136,150
136,7
137,7
137,8
97,8
97,9
120,142
120,8
120,27
72,68
72,75
72,84
72,9
72,15
72,21
54,12
118,86
118,12
132,12
133,12
133,13
116,13
116,32
68,20
68,89
68,75
68,14
20,15
41,56
41,16
50,79
50,17
114,17
114,91
128,17
129,17
129,18
89,67
89,18
89,19
112,18
79,67
79,63
79,19
24,60
24,75
24,21
45,21
46,52
46,150
46,22
125,22
125,23
108,42
108,23
60,71
60,30
75,55
42,94
42,109
42,27
106,27
121,27
81,78
81,77
81,29
104,47
56,142
56,29
56,35
71,130
71,29
78,30
38,96
38,113
38,32
117,32
117,33
77,70
77,33
77,34
100,52
100,33
52,86
52,34
67,74
67,65
67,88
67,34
74,35
63,69
63,39
109,43
69,43
69,44
92,43
59,44
90,47
105,47
146,51
146,115
130,134
