V1,V2
2,140
2,141
2,1
40,70
40,1
53,61
53,101
53,77
53,84
53,1
53,11
61,54
61,138
61,1
141,146
76,4
76,10
101,106
101,4
28,121
28,81
28,104
28,5
120,8
120,27
137,8
32,116
32,38
32,102
32,117
32,11
45,48
45,66
45,11
45,21
54,12
132,12
133,12
133,13
93,13
93,14
116,13
68,20
68,89
68,14
68,26
20,15
64,19
64,25
64,31
89,67
89,19
108,23
125,138
125,23
33,117
33,77
33,26
106,27
121,27
81,77
81,29
104,47
56,29
56,35
38,73
38,96
38,113
77,70
74,67
74,35
96,110
48,105
48,65
48,88
66,134
90,47
105,47
65,67
88,67
134,130
146,115
