V1,V2
62,93
62,50
62,78
62,92
62,2
126,76
126,2
141,146
141,2
141,3
101,53
101,106
101,52
101,3
101,4
124,3
124,22
76,63
76,4
76,10
28,121
28,81
28,104
28,5
80,58
80,77
80,5
36,60
36,6
49,65
49,55
49,6
57,97
57,96
57,6
58,97
58,73
58,55
58,7
122,81
122,7
136,150
136,7
137,7
137,8
97,8
97,9
120,142
120,8
120,27
72,68
72,85
72,75
72,84
72,9
72,15
72,21
24,85
24,60
24,75
24,10
24,21
32,116
32,38
32,102
32,117
32,11
45,48
45,66
45,11
45,21
53,77
53,61
53,84
53,11
54,61
54,12
118,86
118,12
132,12
133,12
133,13
93,63
93,13
93,14
116,13
68,20
68,89
68,75
68,14
68,26
20,15
50,79
50,17
114,17
114,91
128,17
129,17
129,18
89,67
89,18
89,19
112,37
112,18
64,19
64,31
79,67
79,73
79,63
79,19
37,113
37,21
37,31
46,52
46,150
46,22
110,96
110,150
110,22
125,138
125,22
125,23
85,73
85,23
108,42
108,23
60,71
60,30
75,55
41,56
41,26
42,94
42,109
42,27
106,27
121,27
81,78
81,77
81,29
104,47
56,142
56,29
56,35
71,130
71,29
78,30
38,113
38,73
38,96
52,86
52,100
52,34
52,40
67,65
67,88
67,34
77,70
77,34
73,39
48,65
48,88
48,39
63,69
63,39
70,40
109,43
69,43
69,44
92,43
59,44
66,134
90,47
146,51
146,115
61,138
134,130
