GSM512539	GSM512540	GSM512541	GSM512542	GSM512543	GSM512544	GSM512545	GSM512546	GSM512547	GSM512548	GSM512549	GSM512550	GSM512551	GSM512552	GSM512553	GSM512554	GSM512555	GSM512556	GSM512557	GSM512558	GSM512559	GSM512560	GSM512561	GSM512562	GSM512563	GSM512564	GSM512565	GSM512566	GSM512567	GSM512568	GSM512569	GSM512570	GSM512571	GSM512572	GSM512573	GSM512574	GSM512575	GSM512576	GSM512577	GSM512578	GSM512579	GSM512580	GSM782523	GSM782524	GSM782525	GSM782526	GSM782527	GSM782528	GSM782529	GSM782530	GSM782531	GSM782532	GSM782533	GSM782534	GSM782535	GSM782536	GSM782537	GSM782538	GSM782539	GSM782540	GSM782541	GSM782542	GSM782543	GSM782544	GSM782545	GSM782546	GSM782547	GSM782548	GSM782549	GSM782550	GSM782551	GSM782552	GSM782553	GSM782554	GSM782555	GSM782556	GSM782557	GSM782558	GSM782559	GSM782560	GSM782561	GSM782562	GSM782563	GSM782564	GSM782565	GSM782566	GSM782567	GSM782568	GSM782569	GSM782570	GSM782571	GSM782572	GSM782573	GSM782574	GSM782575	GSM782576	GSM782577	GSM782578	GSM782579	GSM782580	GSM782581	GSM782582	GSM782583	GSM782584	GSM782585	GSM782586	GSM782587	GSM782588	GSM782589
Lable	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNN1	-0.795145569699451	-0.756398881493856	-1.08165156874421	-1.24645627136485	2.28298631254424	-0.745648354620168	-1.25615609968934	-0.435794313499972	1.07282893952206	-0.513335921021477	0.391117199563877	1.40561459622219	0.0508410490239602	0.236948617816172	-2.09357247239501	1.04398385193183	-0.376394539729727	0.421370149835313	-0.631575964643849	0.426797899543785	-0.597678113963751	1.85343974983227	0.465069575818117	0.986636644682508	-0.839745445568972	1.52101229436969	1.52165524426961	1.39570847370721	1.52729698765181	2.13348046809116	0.882414331942385	1.24579311631568	0.306167460167463	1.88967640677391	-0.619251534407396	1.8244298242953	1.37201865623623	0.470285534491505	2.14299820619285	1.74261672899747	1.18754860485008	1.63928747051066	-0.147815915329424	0.51614397997081	0.761317730548916	0.212585052500682	0.123695176175632	-0.148111095259269	0.489750772175157	-0.731476519448099	-0.425477768248489	0.514533058775775	-0.783482423328719	1.19658033798248	-0.155516567170279	-0.556194109433581	-0.574776681944535	-1.35020257609746	-0.381862674517742	0.186362774716281	-0.984967257924093	-1.33004106416447	-0.812334977907593	-1.00673244766562	-0.259579586957582	0.463719479963888	-1.2504874320548	-0.398432810881055	-1.13412090136022	-0.239179380723677	0.794400636429853	-0.502266330885916	-0.404385353375412	-0.513335921021477	0.325495032866915	0.627913767802079	-0.905521139805145	-0.241427396719257	-0.878735011781758	0.0718107012577207	0.16105667879455	0.0533001096057822	-0.372764224430428	0.744328492733725	-0.431197181365611	-0.026413846422845	0.221469059333564	0.0234205992667816	0.575361921728841	-2.99800853315411	-0.780848940157941	-0.620159714495135	-0.58837173890158	-0.0274710522221665	0.46135280027734	0.64622026367467	0.257525310232332	0.0838203075826834	0.256709622149159	-0.402521706298135	-1.77892043190436	-1.25372307731218	-1.03954691888937	-0.122723501794411	-1.30683724746535	-0.130830179946795	-1.53373422770195	-1.81348263606154	0.123925491626603
COMP	-0.709806218397732	-1.80232720085841	-1.76022061717711	-1.9737559144427	-0.0993465887334826	-1.94288759465677	0.188331705682515	-0.355869910581782	-1.49833465443821	-0.478178366947995	-0.632404689211933	-1.9737559144427	-0.666164614710241	-1.31641361306727	-1.25172434307442	-1.61465635566733	-1.57254977198603	0.200569023085464	-1.8134808310511	-0.610073485251187	-0.774443485328316	-1.62206216574515	-0.355386007500297	-0.645795784882384	-2.12315262977002	-0.443562063001888	-1.03586168324187	-0.80920483146452	-0.0918966288559118	-0.364174624493759	-1.04435464180606	-1.82490988716996	0.0967767540527247	-1.00928885794949	-1.52782572653976	-0.249883827257713	-1.72162716804903	-0.095192927098394	-0.842614225347842	-0.887699922008202	-1.0940744535634	-1.77039362569943	0.80818731252337	1.23509027863096	0.19441708545663	1.11033750992741	0.681538206843903	-0.868255730727047	0.697027142118433	1.34146968186071	1.15825530171564	1.21337150268078	0.397031678171439	1.48706987426604	0.775419610964233	0.646531757145276	0.289638080023602	0.18518354184993	1.05708574702054	1.06717374172507	1.05135652314551	0.799851659688124	0.731825789498445	-0.0786752055726136	0.861911158508219	0.751178207155858	-0.267144762360131	0.268517503551272	-0.480707626002867	0.737333826596681	1.35814967960834	0.259638160849859	0.443450801522895	-0.0508027101954658	1.00707517228803	1.0647734989499	1.35783933623241	0.877305023472147	0.545146633068465	0.478188342666918	0.588965862580295	0.331718568500195	0.954779566138742	0.74471211403756	0.42321259414518	0.387803145562634	1.0271666213058	1.11094856430495	1.45672632723501	-0.345812693006452	0.0157991792763103	0.66353710974082	-0.049552092695124	0.991873668317782	0.888696244824958	1.1908402035893	1.19686418760426	1.23953643060938	0.133348321415047	-0.426332284994762	-0.0283154477076209	0.00924616861129519	0.143992918589941	0.397507326404935	-0.457823111669343	0.26371843635615	0.79969217885089	1.82610552843514	1.24793939741684
CST4	-1.26608850150163	0.260865375853197	-0.293682442524245	-0.242567887736213	-0.932281350587037	-0.441162434619477	-0.280453773944348	-1.71619266856266	-0.599188285202596	0.14027556814385	-1.10167261321797	-0.298807839422699	0.309823302526222	0.292008105663997	-0.191571186279151	0.268070972433811	0.166049364180715	-0.121888429884791	-2.47728099982112	0.0734198650498103	-0.71683306425476	-0.849874466604876	-0.792205394293948	-0.563153202215504	-0.0927985051644181	-1.46579556086497	0.105807659690593	0.295208037673805	0.30475905815485	0.269376637530183	0.260865375853197	-0.201985960767524	0.0283630823926556	-2.52498706368551	-0.0407432437562664	-1.07466099870979	-1.11935007455331	0.30475905815485	-1.10557942672742	-0.314311125143969	-1.26608850150163	0.486306169050149	2.29370823044406	-0.006119856786161	-0.219217416846286	1.08703044651701	2.17829947593866	0.05651965775082	1.37947649059533	1.76912153935416	1.22424249498509	1.0640674677085	1.9912583560939	0.0870796301264995	-0.490456123328304	0.250309926924758	-0.237667166357061	-2.80287374698858	0.100591984789688	0.632688280571789	-0.177507398812091	0.125724181669967	-0.171925817293392	-0.810619442536948	-1.3948054663182	-0.247487865437429	-0.0533444844338788	0.0244018873333325	-0.745852502486276	1.25253028184125	-0.867544368372882	0.238327704252769	0.0299440582516344	-2.9733292958833	0.614989997034327	2.14270916440546	1.29810990669519	1.74143906837007	-0.301893178266649	0.783797095927787	0.550998488864343	-0.239625153798982	-0.231811507763213	0.607043074911187	0.0878341542312615	-0.148022411089482	0.577295015739031	0.469179886556627	-0.0382381424592634	-0.210572047306817	-0.281466416712007	1.1729884345745	0.403518496769111	1.76931849298633	1.57728568762774	-0.371768245491636	0.95196923914617	-2.12292966663492	-0.210572047306817	0.0863246510780229	0.917840710414086	-0.322658707487452	-0.0390726194737966	1.58506719910496	-0.853068684444177	-0.297781080272125	0.31675336290985	1.32198242915157	0.631711577937273
CTCF	1.47557119867744	0.269160087707714	1.49532028738587	-0.223261055588546	0.343355950023018	2.00005368358573	0.397642742747008	0.457949120658895	0.797582065175453	2.04203602900772	0.716338275807374	0.794497070037044	-0.00525651048757731	-0.317339760786261	1.53623642683956	0.569504206706981	1.37252422757146	1.50799777525358	0.865342454686513	1.2225874411999	-0.290756198447074	-0.467950061076098	0.600913382991944	-1.5793983446909	1.15463710694585	0.446361774241165	1.30213141886766	-0.716633066928108	0.335732716778048	-0.130498636485543	0.485153576703432	-0.41228292332625	-0.602252665571842	0.209065756579792	1.13453345178286	1.48662716591689	-0.45198014009348	1.98648214642352	-0.814403466660834	0.535044049605349	-0.600711347631764	1.05985838371072	0.785616809534763	-0.101666116239346	0.955367547379639	0.535044049605349	0.699453634282443	-0.268633550753796	1.03275138784984	-0.738249564277327	-0.730329956761113	-0.395016611249458	0.661941548591932	-0.535398703779146	-0.17406997525635	-1.33028012320374	0.622540154499176	-1.84658946316686	-0.330443159460557	-0.746182069482614	0.419772440187068	-0.55826048959679	-0.844553447533455	-1.00486092743036	0.0124399121563687	-2.24022403279232	-0.614600799033335	-1.55559235281626	-1.73574258164111	-1.0881729766887	-2.28647550469871	0.322575782221722	-1.34103249299253	-0.808503015864983	-0.314917069099244	-0.296061316739686	0.0440423501589488	-1.28632363053322	-0.9725963451899	-0.537426522932635	-1.43157081601478	-0.328499689495089	0.52893745654966	0.754991144441534	-1.41636374298076	1.36395215549818	1.16465790423615	-0.067935490319733	-1.28277691566559	-0.75041802716785	-0.738777996231879	-0.301372219471294	1.90455624636075	-0.447000258731035	-1.08930863105064	-1.40302067974942	-0.24565567681455	-0.610481275340199	0.0651466571744301	1.70455491127163	0.274742691798863	-0.548086446135133	2.03067655298761	-1.51080287366258	-0.11978277819285	0.274313487803667	-0.360177563906359	-0.863492398658572	0.0521356583677171
CXCL2	1.63640226290375	1.5512492116698	1.51402394522022	2.22374091415352	1.64185849800892	0.902549880820768	1.43279908233319	1.38517591176487	1.34000502639729	0.972460640700561	1.20061455340033	1.66783832364016	0.105592987811667	1.16982230032013	0.999585654194698	1.75747174718102	2.20960856480427	0.439770073818199	1.51544962121002	1.38406600100509	0.85946069203634	0.712101461777457	0.249251405308676	1.86295583234734	0.342674941586958	1.25108005297282	-0.0199462497438068	1.11016260340724	0.689621918460414	0.300028756753533	1.48915752787377	1.44914525576894	0.491577663395606	1.03962188742468	0.307124648781385	0.770660332710464	1.31964217668763	0.874355194045696	0.910735995555507	0.882390706971858	1.06261962439808	1.02905312081128	-0.680739811120454	-0.823761502542106	0.0276157962797944	-0.962861457585274	-0.607459411297749	-1.37517062320442	-1.24568109291608	-1.42190016120796	-0.840768462413954	-0.153574918193467	-0.775301833140375	-0.605887948355835	-0.52244028377873	-0.791049703360178	-0.913726829640585	-1.35252347719303	-0.348283992412027	-1.5556249346161	-1.07943346532409	-0.663330908963182	-1.38254840223322	-0.460790357316464	-1.03181037449783	-0.377014031663552	0.125558036964565	-0.478539596127481	-0.490740100552109	-0.397742196522446	-1.2238180322471	-0.385180257150182	0.0702475759523401	-0.608089081578967	-0.422925777188839	-0.446448837408066	-1.17375533763756	-0.392777618047518	-0.993229496977357	-0.30865856469426	-1.06702873226872	-0.548296621519094	-1.02572091247111	-0.333979744479942	0.030748925768391	-1.03795850276515	-0.773666545177691	-0.262675189281097	-0.824203296106472	0.122056268009193	-1.28720996567066	-0.521614528936444	-0.908157672075183	-0.753175826996837	-0.465559404008708	-0.239276572522792	-1.09477965999718	0.0460749104027576	-0.273025130465462	0.342958888545253	-1.81646985878974	-1.13161410826639	-0.0823012590184587	-0.979553885554723	-0.569882151615668	-0.691058938976201	-0.848985367067508	-1.33753052187831	-0.631507877594624
DLK1	2.03142880050721	0.680837009503686	1.56432853654508	1.42574509869676	1.06901937882408	1.31360874364249	0.0819012313588832	-0.129401043587639	1.49553536741006	0.726484718639392	-0.273027002931254	0.0950782665570757	-0.0348191664082681	0.893629279882164	-0.144682209222404	0.683119943006344	0.312524066412328	-0.555335527536309	0.306773507772147	1.72292551329132	1.46926073824052	1.32959102910939	0.578548120118162	1.63301800093661	0.0988045848800188	-0.455121772652738	0.242267040608984	1.46675014196976	0.116883438099008	0.563036991924336	-0.1628065609942	2.28097352102069	-0.30686312508392	0.775585501983684	1.1298521878121	0.18824315730488	1.1084140249826	1.12178934627541	-0.00827101884826978	1.23652107591687	0.256705798492806	0.407135656507085	-1.21942795250108	-0.660867952659935	-0.302809208626872	-0.959430519284431	-0.874005210195449	-2.13476454024622	0.901004061572934	-0.545084544436082	-0.91774298563308	0.93176802580692	-0.706703831835625	-1.33718589127332	0.175926984128131	-1.5660998880283	2.65357565626347	-1.73283030341354	-0.821945003841053	-0.700934980626697	-0.79479833950246	-0.421144267855816	-0.614496194356722	-0.815309649686472	-1.37179209548028	-0.81909470679797	-0.107996082109267	0.940476865688189	-1.39825921892549	-0.572710375853557	-0.916674047796277	-0.45939316029743	0.542730548674177	-0.922032719190476	0.393837221606274	0.414548728392	-0.473586385660837	-0.806856584563457	-2.0412835676154	1.25534846742714	-0.970762324766526	0.307494535801874	-0.558781184317664	-0.613019308856742	-0.325877542067784	-1.47472523150616	2.58810738314213	-0.502086692896799	-0.586880152505125	-0.680656892611481	-0.680656892611481	-1.16272253794106	0.90158653207925	-0.302809208626872	-0.00545173884470257	-0.830555796663679	-1.1456003232841	-0.361472278480216	-0.450267263377995	0.891274147868138	0.257982700966424	0.904376648438342	-1.51580834360775	-0.763188112970622	-0.489297506807936	0.125325802513683	-0.538321029842082	-1.19807779704049	-0.349078333415167
DLK2	0.70893243565331	1.13602665460764	-0.519712526092085	0.491963058524244	1.14837803204708	0.628089119121288	0.141095939577426	1.34199457120206	1.15019969013739	-0.607118988404829	0.731630283475709	1.18708863921981	0.296067089656513	1.10261017653041	0.00441351062787712	1.08610744635201	1.15383672413343	0.762753502847455	1.55938179010447	0.89060535429772	1.00490433848614	0.881461262902523	2.36592518961239	0.488508908948574	0.236374931502176	1.3520419589601	0.676720876054022	0.68895337679576	1.01385993973798	0.665011711031842	0.325472471622069	0.819859144542984	0.0221588605012196	1.22921008227902	1.23741527058646	1.00240764584131	1.15110973300604	0.0956530170966011	0.721516227625142	1.60714653929261	1.1401545067864	1.51700238190603	-0.483499721910801	-1.86639969924358	-0.548758749876215	-0.802597170561998	-1.37053762558723	0.419960999087112	-1.68147054319065	-0.892725976320859	0.646971012234752	0.406179011045817	-0.739721385084748	-1.6331309907965	-0.386785391464821	0.422126166382216	-0.492475490818515	-0.236584432561363	-0.214858068106515	-0.0894204721298637	-0.997123973210961	-0.193426107905014	-1.78282115279055	0.663774109668167	0.141957172630058	0.132457717875879	0.88361757470492	-0.0182900532930346	-0.0345712299691177	-1.3241773719885	-0.523642104416693	-0.546096031297704	-2.71365996308105	-1.40450430953124	-0.372417500424729	-0.690869025095704	-1.66519265204865	-2.07235426562506	0.371561675909864	0.243658080804601	0.00910267641674072	-0.332403274296619	0.0724323764163816	-0.168085307443051	-1.53072277202174	-0.872975611939851	0.798401168311961	-1.46041544340437	-1.88800312043676	-1.46992918313899	-0.926201394381781	-1.74831095912054	0.411996597235233	0.612819609098237	0.412722293261763	0.153965452908533	0.113285913903446	-1.60430136232658	0.817614070408646	-1.4627885188114	0.235563618603095	-0.479668502123712	0.339972662337575	0.316245486997437	-1.61996143542573	-0.237678624553862	-0.0637180215233679	-0.850240967464255	-0.770080368234544
E2F6	0.665585151526443	-0.235006418030519	1.0761571081173	1.76931481572869	0.859805583362927	1.02679669874774	1.03517901566922	1.2167840825636	0.00927634810716853	1.83617969773748	-0.346973807315288	0.840104418844414	-0.409833247773609	-0.549656724242278	0.626846405200697	0.896951798377384	0.79125690703087	-2.03713359837795	1.97268097461106	0.534486243056558	1.67683962303995	-0.615873925358514	-1.30421424026204	0.078886442021846	2.40455646796051	0.181981944587492	0.495455527830815	-1.32755970946245	-0.0740053676427868	-0.480909794654164	0.150139041201038	0.43048458206553	0.976010924352229	0.5267201364886	1.16452278165999	1.18109374539271	1.00513530122392	0.613822868548747	0.342386979531293	0.519642760305298	0.405573592354629	1.10083218710291	0.780222094000576	0.435588041318496	-0.0439989804590509	-0.638617050486711	0.0690393209324193	1.46850461481178	-0.72492020112902	-0.977479505240901	0.438500456897068	-0.170289374442321	0.753442547838945	-0.167622538076002	-0.539596433368474	-0.650052819214541	0.125229021034119	0.921258923441188	-0.0457056657248176	-0.236823953557916	-0.405986312817596	-0.5516727887306	-0.500676746035293	1.38387573533389	-1.58276091710562	0.078886442021846	-0.00669259310580922	-0.510608691456584	2.30230765324219	-0.219601137664428	-1.03132242680565	-1.65295675772474	1.63639867858686	0.166102237846184	-0.967055792133776	-0.519575305707978	-1.1665549644982	-0.381099345545263	-2.7618812400437	-0.803871074998363	0.0583354429710686	-0.628258142424373	-0.425269915320522	0.297741841805137	-0.235915049791857	-1.42412288601344	-1.21384089332339	-0.682514581530314	0.0384747474086667	0.189100806014925	-1.21258704527425	1.22016138325427	-0.878185262056958	-0.830282489165177	-2.98720862019016	-0.517580435066007	0.225227688107875	-0.740976256568008	-0.677255281743315	-1.8536460980535	-0.259635428314291	-0.172068567583099	-0.590234581914828	-0.779860796682629	0.89570001810492	0.823481716088986	-0.0125971236664935	-1.65730764407882	-0.301133017456133
EGR2	1.54759275522422	1.82663572633617	1.25630727871986	1.48998867754809	0.976309283387611	1.74032885168177	1.37685116612187	1.6775518396668	1.36637100165103	1.32454056726793	-0.189439626876335	1.56950907059381	-0.520952381752701	1.57970722375098	2.64099895049442	1.14772622850524	1.47147598134094	-0.113777484208623	0.573148455764741	1.2247818753513	1.22830837403206	1.74191966737275	-0.189439626876335	1.09886410043812	0.951734606736029	0.0808789872287295	1.64642351129316	-0.107075746187079	0.80272067976697	1.26282950376259	0.168118731635751	1.63161205618545	-0.311567913224993	1.59684354026941	0.730470704775286	0.673995869785319	-0.0250784654496182	0.828927911442359	1.16372667599283	0.632040236659013	0.336013534915633	1.84613411088199	-0.198746614852126	-0.829605304208051	-0.45358035887803	-0.386019238753533	-0.604231175054664	-2.19193358368655	-0.454742850444504	-0.634965013877406	-0.267271474781261	0.342494093084665	-0.547489205039326	-0.256568947317186	-0.551984283890546	-0.685396368336869	-0.621722032331679	-0.689473518312721	-0.335919742732891	-0.441458521957308	-0.118066739345194	-1.30219114595166	-0.488179296548849	-0.843024940071848	-0.932038038563174	0.00275403847633162	-0.296656152468537	-0.790024968293099	-1.27376747369415	-0.725040201480351	-0.897740459656766	-0.644486877889131	1.57642481712643	-0.808348773058717	-0.529402263946306	-0.260835636917102	-0.589393172089024	-0.634965013877406	-1.09199129189748	-0.34599204793403	-0.997864421457917	-0.726583332022308	-1.04565642983731	-0.107480581746032	-0.310316372625986	-1.21161533111803	-0.153089390142681	-0.602533430895758	-0.689845029231531	-0.997352242313613	-1.64034992045941	-1.06744170327043	-0.641302407586754	-0.770830968079516	-0.307319321984112	-0.850904033976057	-0.376055636371908	-0.745690984103192	-0.0894300722917773	-0.669986577043402	-0.534761009925461	-1.40535095358635	-1.40613481584896	-1.00558011411843	-0.881721504630263	-0.724654806488258	0.616844531920901	-1.52538934483605	-0.0840805084839421
