GSM535604	GSM535605	GSM535606	GSM535607	GSM535608	GSM535609	GSM535610	GSM535611	GSM535612	GSM535613	GSM535614	GSM535615	GSM535616	GSM535617	GSM535618	GSM535619	GSM535620	GSM535621	GSM535622
Lable	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
CBLN2	-0.253404831236701	-0.14196928758899	-0.272552920959504	-0.245767841218663	-0.266126372312775	-0.105244764423239	-0.282517781703323	-0.0922341300614747	-0.254312628144191	-0.329352345039237	-0.299365453762916	-0.282764316207573	-0.254312628144191	-0.214482605067577	-0.25704064950215	-0.00109988271831494	-0.25260090037289	4.11479760893687	-0.309648270473157
CNN1	0.0171327936467637	0.388001748079435	0.377236763331901	0.574045806246886	-0.299650727711806	-0.382912784887417	0.30362440761025	0.555060037285287	-1.22083237681342	-0.131172359033251	1.97647561630183	1.63417217335684	0.0254702514665334	1.29028258541845	-2.21070776135775	-0.662794928091489	-0.772253788996662	-0.722816081854958	-0.73836137399743
COMP	0.572019508770713	1.32203042883643	0.344776047345574	0.918634164962879	0.0578971636114189	0.198904279873715	-0.00852077928044432	0.327771961078061	0.270252830081555	-1.14040572244954	-1.57340338026873	-1.88461731090166	-1.380996853617	-1.53458319512962	0.38386358387283	0.941361030135642	0.660581681006765	0.253799513697468	1.27063504837396
CST4	-0.556394117875433	-0.548669597330338	1.91568403130589	0.588964390933452	1.65362555570449	1.34826143733258	0.6229694542317	-0.595813788975397	-0.994330152532375	-0.805527065424816	-0.416101522607569	-1.13243798665262	-0.524857238497284	-0.30970519595241	-0.99112894441066	0.49117969777506	-0.543012935866784	1.57688307037701	-0.779589091534497
CTCF	-1.18029669095564	-0.597047480354099	1.48808706179698	-0.273170919729614	0.896190868515558	0.413731707766073	0.890612577285259	-1.35996913847081	-0.500329613482885	-0.991575522468765	-0.654574678220088	-0.166580418448891	-0.509412969784379	-0.363506591589034	-0.436827586941575	2.13078347578696	-0.888155720379161	1.56764238391134	0.534399255762741
CXCL2	1.15358068578321	0.0532274869843949	0.0641349014708149	0.748740144247914	1.60930487987983	-0.486438225714161	-0.536817288714524	0.00818148028378213	-0.765638624586262	0.536684323150694	0.590658625493045	2.14529420835127	-1.13050592629466	0.300167615428391	-1.91150646146185	-0.704567756507678	-1.23206105382203	-0.104376999475932	-0.338062014496239
DACT2	-0.45721282449045	-0.48699948941723	-0.470509919264935	-0.429704194870613	-0.48197852164438	-0.447085845366818	-0.484597878770081	-0.464599180966047	-0.47350149049308	0.758531237090624	1.23600620636051	1.05733017775081	3.41149735278924	0.1410449480544	-0.459297677446305	-0.474909835209748	-0.469769426167456	-0.505022175203136	-0.499221462735321
DLK1	-0.641266901129465	1.02903704335211	0.946085773833298	-0.534633543517663	-0.0957487244782132	-0.350331256399735	-0.620012007951416	2.70860844518124	-0.643779480104943	-0.641615086361576	-0.643719712948417	1.99069955863709	-0.640448394987811	0.398257336859344	-0.632862422836605	-0.643083331042189	-0.636007035091604	-0.645954965469167	0.296774704455709
DLK2	-0.313780134166646	-0.341686617289617	-0.301669370728577	-0.271779631203191	-0.335509493970135	-0.290338060866942	-0.397057986753496	-0.322702700196296	-0.0738263099842922	-0.321844603016866	0.672881115112787	4.01218928161956	-0.0912035892415571	-0.0777539396150232	-0.236404038970753	-0.322172533438908	-0.318985384831411	-0.297740455749815	-0.370615546708818
DLL1	0.00157304607315508	-0.0339146356133476	0.633253431383349	-0.0150172660413911	-0.56622137383412	0.0432942720425271	-0.0680680698032427	1.87805515404101	0.330866907099829	-0.576176782463014	-0.0246696603800173	1.37907206772372	0.456071028692807	-0.00400233144912256	-2.91776374862976	-1.15780773131385	1.07539764999893	-0.00841436148782824	-0.425527596039635
E2F6	-0.41037746473941	-0.386371303646793	-0.142877118254825	-0.856645476726845	0.667816666009992	-1.8836033277468	0.608810227409695	0.913759715931814	0.0473711859284969	-0.730448918352315	-0.518590236645011	-0.489884945454248	-1.44744312122019	0.00465921876968129	1.40545261406416	2.16478232032429	-0.664996463249096	0.795656104255749	0.922930323341679
EGR2	0.568098353652875	0.526751402356147	1.81730673450068	0.434848471012643	-1.57939123094198	-0.232956707135637	0.497667482247533	-0.222261464706464	-0.30884609550559	-1.26149850115724	-1.06098663966121	1.1200034126753	-1.63560959393699	1.29936809555521	-0.299350169722362	-0.309368684674823	-0.360601899214458	1.45463306374952	-0.44780602909314
ELK1	-0.0604208566525591	0.0333777868716448	-0.562312565643892	-1.29185396449937	0.111631587201132	0.611413327907623	0.196430990246874	1.15539726377958	2.45735075114907	-1.33797371897004	-1.30206105919917	-1.42191064304929	0.431166644502873	-1.02256185603108	0.374566630028773	-0.154243004864439	0.220105623763679	0.638537406310395	0.923359657148226
FGF1	-0.111476311349726	0.773300507829876	0.660994276247116	-0.0919543422624799	0.0266218054044403	-0.0113316368132279	-0.487390158741962	-1.01674879817871	-0.772529319166894	0.299931967121853	1.1078122698566	1.87245836027359	0.1089025252561	1.61879178871604	-2.48737609241845	-1.17637654623769	-0.172797267543235	-0.00366041006567602	-0.137172617927577
FGF8	0.899316068141716	-0.913450815341312	-0.123494069681137	1.92711062199595	-0.439642563751515	1.28812820586448	-1.29833254152659	0.0410995202918043	-0.48766009213172	0.034522874865761	-0.0150787301890173	0.604812000052157	0.481558141634258	0.610716850145549	0.680860457375421	0.145555321186135	0.316645095068239	-2.23111441288259	-1.52155193111747
HEYL	1.21235574302404	2.21852203990015	0.0392262513867436	-0.284787980455075	-0.00983668987914378	-0.704767088339085	-1.10140394237074	1.2039595555223	0.883170430501414	-0.715672041533654	-0.505371090471594	-2.42369787173181	-0.208374528482536	0.143634591927265	-0.704172876891769	-0.0196598132077916	0.467901768526444	0.120949748245035	0.388023794329787
HNF1A	-0.204412499648525	-0.969028508233194	-0.273343478458921	-0.124491990118917	-0.387774047206659	-0.184397242187737	-0.315534930698	-0.258230585826243	-0.26786539058297	-0.961411155191971	-0.267855328978735	-0.195030061533937	0.176547659249922	-0.25249702317079	-0.199323728799302	1.20284986255956	0.143923658340095	3.70604341415136	-0.368168623665048
HPD	-0.212243801948958	-0.245643634155893	-0.233298634880702	4.12851701417287	-0.239763899664758	-0.20950028554105	-0.26018754756807	-0.229977634966805	-0.231436185843637	-0.227100982513698	-0.24016243759445	-0.220320953518803	-0.220711359188598	-0.16757246192029	-0.212794212291695	-0.230681654262885	-0.225839641847654	-0.26560332627793	-0.255678360186995
