GSM398074	GSM398075	GSM398076	GSM398077	GSM398078	GSM398079	GSM398080	GSM398081	GSM398082	GSM398083	GSM398084	GSM398085	GSM398086	GSM398087	GSM398088	GSM398089	GSM398090	GSM398091	GSM398092	GSM398093	GSM398094	GSM398095	GSM398096	GSM398097	GSM398098	GSM398099	GSM398100	GSM398101	GSM398102	GSM398103	GSM398104	GSM398105	GSM398106	GSM398107	GSM398108	GSM398109	GSM398110	GSM398111	GSM398112	GSM398113	GSM398114	GSM398115	GSM398116	GSM398117	GSM398118	GSM398119	GSM398120	GSM398121	GSM398122	GSM398123	GSM398124	GSM398125	GSM398126	GSM398127	GSM398128	GSM398129	GSM398130	GSM398131	GSM398132	GSM398133	GSM398134	GSM398135	GSM398136	GSM398137	GSM398138	GSM398139	GSM398140	GSM398141	GSM398142	GSM398143	GSM398144	GSM398145	GSM398146	GSM398147	GSM398148	GSM398149	GSM398150	GSM398151	GSM398152	GSM398153	GSM398154	GSM398155	GSM398156	GSM398157	GSM398158	GSM398159
Lable	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
CNN1	-0.22397633944554	1.82823717636382	1.99456493420083	-1.53249519039542	-0.0808554513067231	-0.456985708352116	-0.740424803477273	0.369095663478059	-1.0328098382021	-0.361565205552496	-1.79859321428613	0.983925458846532	-0.887054197288851	-1.05391443144939	-0.781769354286976	-1.24012842467353	-1.58616568741711	3.01375553744753	-0.40414528231575	-0.160540252360018	-1.06962090024118	-0.567975720702724	1.28357045900999	-1.43180126650871	-0.458840013037059	-0.663601664010012	-0.291144919607456	-0.547928876417746	0.183874506101208	-1.40370050870968	0.32298679041266	-1.52318095671259	0.0102396744580171	-1.6004232513004	1.21973819369063	-1.19770012970212	-0.315549579762818	0.0718625990515731	-1.32137094010642	1.68465958134089	-1.55490671301129	1.336256509982	2.02776953627776	-0.408068571735908	-0.2880059461604	0.59337559004878	-1.55988194329037	-0.99930586984751	-0.552881958476498	-0.819056047910791	1.55493662755476	0.630320409154929	-0.0245521050685237	0.510113725740764	-0.325566925827311	0.0392403808768298	0.284586036032837	-0.932103165021451	-0.0558367586200605	0.976625896834285	0.207927866963982	1.73536635786278	-0.170189331145234	-0.294127423514123	0.378409926178375	0.634893124252984	0.553759963667928	-0.0956224404053236	0.0333570954088089	1.28047606712185	-0.164541407394483	0.120315447810349	0.163749810800202	2.16298620460104	0.543931893273315	-0.222483385626425	0.668091489925466	0.510098175661996	0.27564491837307	0.154761363934638	0.150180475866096	0.869426370576114	0.490437801185593	-0.245337579315642	0.86433388179981	0.72884615783063
COMP	-0.703424227336846	-1.01803245899773	-0.686435617460169	0.379609279533319	0.0122011573472224	-0.603900746066964	-0.990765252726581	0.0219007665768162	-1.1571924267559	-0.602858441007613	1.06081912135932	-0.501634353472128	-1.42039177297498	-0.419956454550147	-0.519493094234786	1.36098323964601	-1.08940809119293	-1.09849387387886	-0.932184871697218	0.21510906991488	-0.524829613283042	1.06853078466908	-0.676687342147077	-0.430568593752014	-0.58690930697359	-1.15671168004086	0.374825249227752	-0.355760028442073	0.851952840714664	-0.565618473133292	0.140596483209823	0.696332040978868	0.129222105129778	0.683839245825035	0.0980242837287785	-1.74520323746693	0.507097499665352	-1.14537074833244	-1.33678909842565	0.289227526967382	-0.406310694732671	-0.87626289473368	-0.664217645002602	-1.12882169184005	0.102630763491285	0.169087741683667	-0.930899657335026	-0.796749937488983	-0.490962956896788	0.201513260622627	-0.440070258359464	-0.994324849340367	1.48730147886361	2.34905429069591	-0.564512696922054	2.42810377359326	-0.417704648929272	3.27522591982285	-0.0690453383072705	2.42991908831413	-0.263829371273556	-0.699377209380724	-0.549795109851127	3.4388740112525	0.0805203260083732	-0.30083511218336	-0.39968958344571	-0.136984170281822	-0.0605780136139092	0.525746188720534	0.139938503013579	0.734319663628172	1.18442120774172	0.879692540821342	-0.0613571787847978	0.328506394976421	1.30098408767978	1.19530815057505	-0.000396150352506334	-0.125282085528962	0.467808840701012	0.464099824087507	-0.430544475366106	-1.03119147656366	0.0652581877141818	0.969778072362673
CST4	-0.682052364351542	-1.16193962376782	-0.44603472360131	-1.02321700295126	-0.845451819109902	-0.563634626217485	-1.67630186215725	-1.76919532499293	-0.730022160621648	-0.456021243468482	-1.25377889147923	-0.94405573725112	-1.32848264516013	-1.25811786715911	-0.874474106992884	-1.15825090335488	-1.66940915120392	-0.63810779605268	-0.935696249683359	-0.751094647183846	-0.725782707809815	-0.084529909150504	-1.08793420686464	-0.33108480419453	-2.0319820085105	-0.565371911461181	0.0180934759411951	-0.866868504574364	-0.12303841793008	-0.415279439593761	1.37176241199234	-0.316288379248436	0.679569610424191	-1.42102061835255	-0.0722691568656434	-0.7381889128982	0.673266232134478	-0.441872543100293	-0.866501817663021	-1.18506054553651	-0.732883038140774	-0.483547732508259	-0.322739510073886	-0.43493096119836	0.166268126870478	1.23943130639997	-0.294424900785019	-0.660421812783805	-0.446589918558055	-0.647802497547061	-0.999509627037843	-0.603708663293015	0.453262075919323	-0.0340736472194556	0.592513792918885	1.00968419843138	0.85921128954263	0.992738040219591	1.18103687663018	1.54774876276593	1.63242309411928	1.13923701486885	1.20552293827278	0.699962713340001	1.08901093938024	0.589044742080261	1.22364850945224	0.878844987173705	1.4865401207742	0.786887523499867	1.3374673334972	0.313269778802841	0.914238110308622	0.807945047184567	1.66384532743484	1.70406279927244	0.521768040968477	1.60215481106269	2.06730164838815	0.230185423357994	1.61174396777004	0.668756811731306	1.03561501429715	-0.451126480746258	1.03777766760114	0.518330855577192
CTCF	-1.80709736642446	0.163277823584258	-0.919828825295725	0.17725527767479	-1.25140031788545	0.0670856590904962	-2.07228870031676	-0.637920170190503	-0.404426576197944	-1.01083404423755	0.0666743619080548	-0.416256350608353	-0.281494862427426	-1.04940914846974	-2.74070627940706	0.0455209420453445	-1.21768184147377	-1.20714408903218	-2.91029089124768	0.362657765232431	-0.504740979784858	-0.0948996057430154	0.30540912306322	-0.499922889350002	0.102753905245831	-0.00825307032819673	0.502479305772205	0.215832804302841	-0.117605410238187	0.165051586755321	1.09548949227041	0.23056538989497	0.801506265899516	0.609246222141845	1.46360744056397	-1.03875835504782	0.701070229410275	0.437538106446803	0.206577515457687	0.44909818326994	-0.12003246304763	0.0853011067986047	1.55886951366928	1.59521077321128	0.528771361274983	0.318449215275604	-0.917046224947766	-0.751876756040986	-0.720984509982779	-0.431451559447841	0.262545089979623	0.324457620869698	0.724386907205301	1.00642144781	0.141585724757927	0.601664879760863	-1.5206934752239	1.96903147697632	0.89863869064285	-0.0807072704794637	0.480193435044689	1.17254589651519	0.463038768745243	1.29445782398379	-1.7862486755244	0.586781671434916	0.59895671074102	0.611840067753418	-0.237932374937147	0.802756248260845	0.363211256980291	0.102381761546267	0.862408300498483	1.01166507255401	-0.17142435651247	0.805253186317035	-0.190531866938998	0.88589066817309	0.457274055887446	0.256816312121618	-2.19909695651306	-1.59516674892957	0.419428059316584	2.21165202245923	-1.77531207552762	1.11888256116457
CXCL2	-1.39611695708959	1.7412313164379	0.566082437511309	-1.66098615304967	-0.236580728132221	-0.836510128441055	1.53525683303835	1.30421052789057	0.926629521827041	-0.491724146375173	0.600744230422449	0.966844758037124	0.256166538289079	-1.75513397021094	0.642330132149456	-2.18441231532642	-0.112793680330946	0.896251731094967	0.591498893657337	-1.79558638047614	-0.0351225360910336	0.22300000367315	0.952411215351113	-1.78387385981135	-0.139163310866038	-1.23859656055721	0.0873297408504113	0.377078265755399	1.28397685987735	-1.9102271082072	-0.340633290636532	-1.08946458505934	1.50150098939359	-1.88795243700587	0.58905845617438	-0.225955911638383	-0.156000507988643	-0.445344986060332	-0.781327070995514	0.391305915460394	0.701675396718846	0.659394063150924	-0.440601338800152	-0.358758707310649	0.253361166133885	1.35784094790944	0.263421479264003	-1.47748405004238	0.0212484918472708	-1.36390360249009	1.16567555108105	0.860401805195209	-1.04943455126898	-0.747287885300822	-0.900407617504872	-0.443506093600653	1.09096460150722	-1.37083735717874	0.993151251421713	-0.943762460977658	0.408642268578693	0.509840712587683	1.26282782973222	-0.982702844966069	-0.139931297608609	-0.403678968669729	1.86118380094167	-0.196750118656708	0.680345339793549	0.748452030345436	0.699209695442496	-0.402127097230636	-0.650816725632577	0.79096784830667	1.82557439558344	-0.306346905044144	0.95419161437189	-0.226807868884497	0.64336401507773	-1.1119283517872	-0.185742078921042	-0.659104169754204	1.56835664470517	0.0111453505884981	-0.951953008047892	1.05323505685186
DLK1	-0.926261175416253	0.367881874705866	-0.916921248176725	1.42149078256339	-1.08134923648722	-0.29862296244383	0.666874338906902	0.123532169285588	0.544160289371135	-1.25566471203824	-1.12772117194848	0.136244644323503	1.5725679170473	0.0535605863892955	0.0405573285670288	-1.29390996225886	-0.107188775770131	-1.1428149779606	0.468890219105602	0.843732303186378	0.181192409861136	-1.01626182726276	-1.70225968466272	0.252460902595317	0.195804671208667	-0.892799207768602	0.939277314449413	-1.07442033030356	-1.79101168008483	2.96306152463359	-0.705136671812047	0.191590912336932	-0.578799996525801	-1.70151831655891	0.449984324684373	0.293898572753757	0.749984100678513	-1.49466784048833	0.43097972863668	-0.86749446313516	-1.78337101368014	-1.27769273551139	2.56151092341017	1.81094852958866	-0.00710203605332888	0.928686486114928	-1.46335650982695	1.10853544084084	-0.782950556210212	0.81616111865424	1.60841478657948	1.66067498984762	-0.924805950872492	-0.0139004151459561	-0.26604281073129	1.84470565528636	1.11177240532128	-0.915765350723096	-0.135383175114722	0.0689245578453303	-0.407006070575428	-0.46375966456343	-0.529154433811638	-0.783070432115411	1.29058934636405	-0.0749209468282966	-0.834416398782004	0.457756898870865	0.189374976880783	0.106818320490471	-0.473925169887241	0.623269933476709	-0.36325514872683	-0.517864893790684	0.255433227361293	0.142596265933997	0.0544526678538144	-0.412556000498121	-0.981122760639527	0.38913673799101	0.0011818124550161	-0.507807145491885	0.848702625131375	0.371246113355996	1.21246467763321	1.54296844810524
DLK2	-0.00426124827752541	-1.86870541061924	-0.164776104438003	-1.23506549212667	-0.0183243926585408	-0.951295031159094	-0.449825639519474	-0.747610028519782	-0.459776795842617	-0.768403695418147	-1.02192703624146	0.357696985949915	-0.541688719780568	-0.417495614970298	-0.0927879839649402	-1.02556648141868	-0.764704975753863	-1.32676066479272	-0.905320131013513	0.467669696636636	-0.612065384992275	-1.67177382521551	-0.992472119903696	-0.79397034059352	-0.807898452313225	-0.122690703957978	-0.448249376554072	-1.48925411685291	-1.56390025163175	-0.439896241482884	0.782346729272777	-0.322829669924384	-0.521484487302629	-0.89402516993211	0.11164283024233	-0.553874919857361	0.291701957464274	-2.20996013358322	-1.55125778569603	-1.780890466177	-1.50814626155763	-0.323495071789187	0.779256059590641	1.1724386056882	0.834614009111027	1.60340091493263	-1.48202861513969	-1.1542053672071	-0.900564130548051	0.642072387831019	-0.167751384246366	0.223768149988311	-0.42924925937396	1.0337603406077	0.865184001101917	0.534691036460017	0.693080968238877	1.72051455042593	0.310885466577005	0.969149847859144	-0.267515392359729	1.04733699053823	1.04249422756126	0.316934330624654	1.48160280718821	1.31253039052343	0.645379796633462	0.721033240916773	0.902655195635179	1.4567687929583	1.19870166013238	1.23407626662884	-0.245909822897033	-0.475064981147759	0.274502156671234	-0.169617609942542	0.73821143469647	1.27603512940145	2.04911559632443	1.49508846467104	0.652441673116984	1.00712029107716	1.13273885942394	1.46400670001103	0.471366475144755	1.35032177083718
E2F6	0.0121555447102739	-1.01998445972462	1.19779208701769	-0.520049187120828	-0.579911899293918	-0.599553393618145	-0.298528052287297	-0.784647897962317	-0.462951730344473	0.0949610410137363	-0.645277721172599	-0.0543708293418355	-1.01412893502427	-0.48573962850578	-1.18361973836495	-0.399541361899271	-0.799001873372676	-0.435601354295724	-0.461394036979221	-0.101479206401475	-0.73656738603816	-1.51562945760795	-0.613815668699406	-1.30974047325062	0.00330041360218186	-0.561403265015216	-1.0420266896002	-1.17739542895492	-1.60626794613207	-1.55617411174473	0.988788439616812	-1.4169773795625	0.639344250301068	-1.4194201371391	1.10763977924054	-0.783395619275716	0.357126236246278	-1.86237586497586	-1.08181034978216	-1.69998539498107	-1.34134187103635	-1.30012198502289	0.00193259375568931	0.703945244030308	0.413005001861527	0.532155307751975	-1.02887595344997	-1.20598276235712	-1.00333430880508	0.106357613702236	-0.613392996368711	-1.23673243472623	0.146433595332298	0.302566679763234	0.427805780415743	0.309787894481579	0.878878933040448	0.342882012126408	1.12202006658997	1.05232835477579	0.413144737271825	0.826904865002124	0.542231007730774	0.839052391166344	1.12074682482501	0.793758076865487	0.509026986342861	1.02119253272821	1.0844587946339	0.676522400794393	0.250346209134395	0.708453860363048	0.952633337745874	-0.0418744727286614	0.341011519411902	0.141998300090851	1.00640327085927	0.681798385712785	1.97936858371371	0.866373939824532	1.74810578893129	1.98047936399369	0.80141742826614	2.12846567150616	1.14506087970896	2.70026123696484
EGR2	-0.845600069663541	-0.117637483651318	-0.102342366445534	-0.68453041398762	-0.259919627261116	-1.35795643318758	-0.602111527643806	-0.630309759201176	-0.522031852206066	-0.54366575641942	-0.808577424300325	0.174022165414626	0.464499447278297	-0.924655077842801	-0.512968827133287	-1.06890705252564	-0.274079057685303	-0.646108770617365	-1.49717687003688	-1.05809694342133	-1.05273989290455	-0.694716384882583	1.43016248816714	-1.39955414916542	0.210188197422694	-0.920695562034892	-0.641968053022458	-1.32523529276469	1.64897045205397	-1.17091175238609	-0.527225817154106	-0.32858414945535	1.73458445377894	-0.691197704829431	2.59364680139608	0.458167149371408	0.0369735380644638	-0.0623344778846777	-0.867931378902074	2.06259908372812	0.142099825350876	0.624834281984653	3.76765564313068	0.48865454009882	-0.16881169165634	0.528560156984152	-0.750245326523992	-0.585414569432615	1.45846740939706	-0.0887472376705035	-0.586425369208011	2.75966719703844	-0.542358481153026	-0.596810447647617	0.00234132908414674	0.0344481411291714	0.467007808576444	2.12534300599748	0.604217231019397	-0.0899042569920942	1.00252474151877	0.144518336151748	0.884670793803777	-0.623873381307983	0.0292700820242649	0.908618621882264	2.00600393728503	-0.0442743167493268	-0.867805198217344	-0.240208141763364	0.0445815266388197	-0.505966887613828	-0.967872443715507	-0.991596321032762	0.173048226184067	0.273881254724728	-0.637818808957284	-1.10999646251977	0.519363011126162	0.131010880993865	0.131183742450202	0.878079458771998	0.0308940920201732	0.382590962352295	-0.0446086869288029	0.225157943311382
