GSM898858	GSM898859	GSM898860	GSM898861	GSM898862	GSM898863	GSM898864	GSM898865	GSM898866	GSM898867	GSM898868	GSM898869	GSM898870	GSM898871	GSM898872	GSM898873	GSM898874	GSM898875	GSM898876	GSM898877	GSM898878	GSM898879	GSM898880	GSM898881	GSM898882	GSM898883	GSM898884	GSM898885	GSM898886	GSM898887	GSM898888	GSM898889	GSM898890	GSM898891	GSM898892	GSM898893	GSM898894	GSM898895	GSM898896	GSM898897	GSM898898	GSM898899	GSM898900	GSM898901	GSM898902	GSM898903	GSM898904	GSM898905	GSM898906	GSM898907	GSM898908	GSM898909	GSM898910	GSM898911	GSM898912	GSM898913	GSM898914	GSM898915	GSM898916	GSM898917	GSM898918	GSM898919	GSM898920	GSM898921	GSM898922	GSM898923	GSM898924	GSM898925	GSM898926	GSM898927	GSM898928	GSM898929	GSM898930	GSM898931	GSM898932	GSM898933	GSM898934	GSM898935	GSM898936	GSM898937	GSM898938	GSM898939	GSM898940	GSM898941	GSM898942	GSM898943	GSM898944
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBLN2	-0.391824427862318	-0.391150407825738	-0.38812364705682	-0.391749705092368	-0.390581384994881	-0.38375421344532	-0.391808327324953	-0.391148205870189	-0.38691595149208	-0.389550263755028	-0.382451584448635	-0.365551816871026	-0.160273734481762	0.0867129703203264	-0.38157128533164	-0.391308660610652	-0.38913013640807	-0.386021894048892	-0.391455904772186	-0.39000300486301	-0.389283159909294	-0.391090684326787	-0.386936730102767	-0.384095902114116	-0.390622255944919	-0.377937658687149	-0.383736736324997	0.495972526704616	0.963825110182654	0.876136429445344	3.90526140023155	3.92409547926878	3.88528184256182	-0.391647321951307	-0.389474439718711	-0.388446070490407	-0.388140435597072	-0.382767402592758	-0.381453764972694	-0.22610216818051	-0.384328878246163	-0.383599950730842	-0.390844084929516	-0.386439774997161	-0.386846689456455	-0.39139122788332	-0.387945303086923	-0.389348525378231	-0.389745258895473	-0.381893846134931	-0.383491375563797	3.29950798838813	3.31930192380239	3.20995621661088	-0.389280683214337	-0.385636322685875	-0.388194517126038	-0.390798673275859	-0.388945461888117	-0.388126949701552	-0.390193734039244	-0.386715668772399	-0.379983113203787	0.788557009569233	0.515058661833158	0.560318458477346	-0.269453853461603	-0.385200370118145	-0.386174847710896	-0.308728671432777	-0.223642090340013	-0.387369950283192	-0.390502808947015	-0.386275277662552	-0.38998828033142	-0.387217339468264	-0.386234874808438	-0.389682232751789	-0.389156282249335	-0.39122416727621	-0.388914499449458	0.051736565823691	-0.389757506154922	-0.389326782870881	0.848629011997018	0.929057530723427	0.84748463001341
CNN1	1.44094221291352	1.464740191287	1.45755419711696	0.235671357350021	0.647848349989305	0.678028450614639	-0.757607440681973	-0.756916800452027	-0.752489027791011	-0.755244973917381	-0.747818083874744	-0.730136941565947	-0.756696665634529	-0.751510006964599	-0.746897082890505	-0.757084673329051	-0.75480542288784	-0.751553630542852	-0.757238723618781	-0.755718649648015	-0.75496552093693	-0.756856618754787	-0.752510335952448	-0.749538425335703	-0.756366529833996	-0.743095451090758	-0.749162655069382	-0.497033765421145	-0.340741499134602	-0.40545933594607	-0.755419184411428	-0.751920763050821	-0.752424815864517	3.29465080774958	3.17193624491516	3.22726240359407	-0.75376996315126	-0.748148503494239	-0.746774131308644	1.05855510002102	0.878668407904708	1.03091300516861	-0.0948934929107873	-0.306553174283577	0.0649851701602456	-0.412945248255295	-0.0602441494470707	0.0908731430565745	1.69229258715037	1.51052387338427	1.55216373825667	-0.756862234747004	-0.32666575136461	-0.750367140471066	0.356410177890349	0.0366873931197676	-0.437035536004307	-0.75655110636271	-0.0294415191038483	-0.285936987629523	0.8429363856834	0.700229796362161	1.00042336071421	-0.22756853123142	0.386645834567721	-0.146397515983526	-0.755231010024475	-0.750693961024581	-0.751713728591941	-0.0600186643402133	-0.277728158231858	-0.451152171820858	0.254548096092176	0.430268144692673	-0.691611121430727	0.746759861941157	0.813204054760087	0.798842996469375	-0.754832778204768	-0.112096907520372	-0.344204658102789	1.43459553783834	1.76613823500203	1.92795018829696	1.44589376682541	1.55489637137277	1.48316342356089
COMP	0.713427348745333	0.706578450224833	0.658747127244226	1.41861331017566	1.40151838152118	1.29024166153263	0.155078424190415	0.0960736012422135	0.0192449137809556	1.10228802399962	1.09393380405605	1.06088580272994	-1.55859028242057	-1.73558856925835	-1.73283190474504	-0.143315942610083	-0.25322068160463	-0.204023981499719	0.280064332353881	0.343003818813168	0.240602396565107	0.630484188855675	0.636779372750017	0.593383793260855	-0.956560626891765	-1.11286761868245	-1.05709725346773	1.79313604606925	1.68609994867906	1.69788706217527	-0.0304809403287264	-0.100558953711673	-0.131656503927956	-1.73913174382622	-1.73777325926536	-1.73713033826825	-0.231368043746073	-0.24828095098669	-0.307255636471852	0.453961835328538	0.370178915820823	0.357295325391703	0.162060535392998	0.100857282058413	0.080756870958702	-0.0413519419254685	-0.157262268889245	-0.151278715471027	0.846582364250099	0.870361744243682	0.890662075770199	0.793643507405226	0.801838404481583	0.715770675971885	0.585413644274417	0.574092121634999	0.539895010895387	0.705442404203842	0.701699092688852	0.664949748702691	0.63278309333035	0.643149220067295	0.614042429826679	0.586286401588913	0.65309720998377	0.618920740847791	0.822971617497395	0.803645880008198	0.814189950359689	0.0633910717779287	0.094178023598269	-0.0151074275918612	0.498017491441326	0.474371632310412	0.53104827940217	0.537124943774403	0.547175492148095	0.474707873929331	-0.476198429231247	-0.609056956247449	-0.477362189852922	0.920318502837653	1.035581831005	0.985571700152682	0.239713115141687	0.227928737018822	0.230950716507934
CST4	-0.637276185910706	-0.63640887295266	-0.529136004492198	-0.637180035663614	-0.301855982088477	-0.626891676997919	-0.637255464514956	-0.463768415717177	-0.630960304485964	0.0548426591057509	-0.122295120845058	-0.603469384711315	-0.636135305966613	-0.629756205717273	-0.624082754404007	-0.636612507084806	-0.633809251309875	-0.629809858535517	-0.198902477431664	0.410150946634288	0.416196989438813	-0.00478807385581764	-0.630986521879153	0.185031400823913	-0.635729270588233	-0.61940710885285	-0.0593831808609859	-0.486199267200868	-0.620434318201259	0.331665355203908	-0.634564119131125	-0.630261399287288	-0.0577013313743575	-0.637048287692569	-0.634252288119663	-0.219431736082466	2.7847203324423	2.82661802913668	2.65001417791007	0.0857927373875566	-0.627631141172291	0.0754299970808426	-0.63601470595794	-0.630347627030895	-0.630870704873658	-0.318825698581598	-0.632284646766196	-0.526329206027026	0.071368640648869	-0.624497813616019	-0.626553465198748	-0.0854881511949185	-0.339558234867414	-0.465344199880252	0.800928544879477	0.68028909871191	0.927335000576176	0.545626763618717	-0.541675857925047	0.297719549831447	0.256842029094158	0.0399333920525832	-0.0400336009253887	0.81752467466018	0.274620243945702	-0.147483900978854	0.614443038797666	-0.628752547460593	-0.359961945626444	-0.421960704840328	-0.631659395360229	-0.0683576544956308	0.914932688192755	0.156019590017369	0.718895806993749	-0.176454625491029	-0.630083967694285	-0.0813949105507741	-0.323266360534135	-0.0150966191715671	-0.00120019760323041	1.30484021062713	0.132838141250978	-0.377426935414202	0.179905818758076	-0.634223783203215	-0.633664580317824
CTCF	-0.417191386748465	-0.473223087126431	-0.536413020342322	0.160471344211927	0.146984313114324	-0.260655797580834	1.25770418084893	1.02366133637998	0.740456319186995	-3.86293996066566	-2.27702852632735	-2.11558447324869	-0.060719770911672	0.0344526390206014	-0.158879619111367	-2.55358620657327	-2.4286999945687	-2.11500268567619	-0.0843479379501304	-0.220615776136209	-0.0897529157805349	-0.0360670544526519	0.0383003711580217	-0.340784827097877	0.445137350467732	-0.0366823295427327	-0.0748438565464599	-0.94331262222342	-0.61630431056085	-0.773350814650667	-0.0846156458744363	-0.505449665312917	-0.560357908576732	-0.104922420585705	-0.407622874797635	-0.290712576463578	0.54347596940875	0.541577537752904	0.496866677507816	0.212278711098912	-0.181744591997642	-0.356791959466247	0.859034560812799	0.767595539017519	0.514676951693121	-0.592404812034009	-1.38093959071721	-0.887417052905515	-1.02168205359268	-0.819980983913951	-0.918177153395363	0.648327621243867	0.396596931096443	0.392398906507661	0.950678683186058	0.716883512366713	1.30770746196532	0.284918286616376	0.188881049552744	0.429185580220671	0.608403747969178	0.612903970950621	0.577066503549873	0.895833072009292	0.820286804325571	0.800577146918223	0.645076100519349	0.633764319296662	0.386148144288621	0.821215152306806	1.00307772251519	1.0162997728772	-0.340092429470708	-0.693780773180053	-1.09020256548434	-0.790138364519375	-0.403203420754944	-0.768645510122569	1.15055388764708	0.948604173721225	0.982399789409002	-0.850905324729302	-0.45202063170145	-0.321647803196216	-0.225625087032741	-0.310025659142902	-0.534237797111259
CXCL2	0.848134554116575	0.685292425493716	0.874057639169785	-0.59660319896246	-0.535652028310488	-0.690526080571876	-0.0015835687804547	-0.12837680984331	-0.481072639732552	-1.22937589680075	-0.955457688417905	-0.819880146104893	-0.990126138039803	-0.841637300309767	-0.236816904428787	-1.11263251626476	-0.448537969598768	-0.441978986668992	0.0953858888483322	0.197312452799536	0.0264880428046857	-1.18364068483836	-0.526014053278124	-0.839824790809576	-0.476132753870257	-0.194436330929047	-0.277399242594828	-1.22929166358047	-1.21770268019535	-1.21989168477699	-1.22955564002597	-1.22594625899769	-1.05304654680803	2.27873891983406	2.39786419404191	2.213168092853	-0.895286821422753	-1.06381463011154	-0.669402625592881	1.02065409536679	0.780350486812237	0.928472735586577	0.41438486940627	0.543208988362613	0.560410633075377	-0.48011811286776	-0.469016149514363	-0.316586480510589	1.17754120944795	1.30887687394849	1.14670375147897	0.0232902519562239	-0.00313671223330297	-0.096802308704812	0.731171182825565	0.677924510826709	0.457479943097649	-0.941302021618805	-0.010863820528162	-0.473656577556204	0.736346354750265	0.575991099811224	0.444382736490312	-0.337296089952837	-0.880904435179435	-0.500699385024176	-1.14474088655653	-1.22468051779716	-0.668709832277185	-0.0650397494257277	-0.32352810779611	-0.0198957151116794	0.759773345323354	0.847590900950802	0.36890540993592	-0.504841298190251	-0.932499899310714	-0.606019538449108	1.47411640960996	1.63143004782278	1.65950942855183	0.488643555584486	0.755584487089619	0.723567016404648	-0.0882380206386442	-0.119974728044636	-0.0345641578694742
DACT2	-0.2633595187164	-0.262307959506539	-0.257585817745363	-0.263242940544231	-0.261420209638678	-0.250768930244054	-0.263334399777154	-0.204148007911935	-0.255701882894205	-0.259811525053134	-0.2487366599298	-0.222370815459048	-0.261976260739598	-0.25424199571891	-0.247363277536676	0.0554647828719262	1.14501580528015	0.95246065357101	-0.262784574607259	-0.260517860259721	-0.259394809099921	-0.262214783054862	-0.255733399756496	-0.251302009154291	5.32892799048726	5.2264119218867	5.28158597135074	-0.259689795224702	-0.242939772453417	-0.246103681822204	-0.260071302340327	-0.254854511529829	-0.255606431825552	1.62925825681888	1.70254702810152	1.66045805947532	-0.257612010058891	-0.249229376545223	-0.247179931341984	-0.259902125226439	-0.251665482321313	-0.250528261180227	-0.261830055816393	-0.254959066469275	-0.255592924598856	-0.262683669320466	-0.257307576979758	-0.259496787760995	-0.0853793381728147	-0.247866514480732	-0.250358869751676	-0.26222315573445	-0.259432595116363	-0.252537774518944	-0.259390944232122	-0.253705267156019	-0.257696383400689	-0.261759207710926	-0.258867956120709	-0.257590970302107	-0.260815423563356	-0.255389093344156	-0.244885521776828	-0.261120070957152	-0.260303383509421	-0.245575325938902	-0.259790700511495	-0.25302512426296	-0.25454578495357	-0.258907459355905	-0.256549236248945	-0.256409661573085	-0.261297620750628	-0.254701865460453	-0.26049488896952	-0.256171934383232	-0.254639390034574	-0.260017414809182	0.032966614802513	-0.233856815349524	-0.258819649775635	-0.252396292622674	-0.260134851140487	-0.259462866612352	-0.251033860087991	-0.259658664669095	-0.258980668524598
DLK1	-0.433060085333643	-0.0405094881089638	-0.429840727387998	-0.432995082510195	-0.431978745977874	-0.426039699061106	-0.433046079264217	-0.432471830919833	-0.428790273185215	1.07902744915804	1.04829543656138	0.861908870585935	-0.432288794513278	-0.427976415361664	-0.424140741155491	-0.432611412611042	-0.430716285223572	-0.428012566535663	-0.432739502245716	-0.431475604984347	-0.43084940288403	4.36160074353741	4.16581000195572	4.28246381525496	-0.432014299653302	-0.420979802000729	-0.426024495986141	-0.43101388419843	-0.42167423893987	-0.423438403176433	-0.431226608752432	-0.4283178431161	-0.428736882420115	1.93276072056865	1.96005596155713	1.89185747474743	-0.429855331960194	-0.425181259308521	-0.424038509150119	-0.431132277284878	-0.426539607537158	-0.425905504396923	-0.432207272109611	-0.428376086674209	-0.428729699884781	-0.432683238466483	-0.429685583118482	-0.430906265166033	1.45991144846537	1.29955553532793	1.44931237613853	-0.432426460694364	-0.430870471486976	-0.427025988946838	-0.43084724787238	-0.427677163976895	-0.429902377692157	-0.432167767914224	-0.430555634929416	-0.429843600402131	-0.431641523307914	-0.428616090301592	-0.422759169312257	-0.43181139164934	-0.43135601489236	-0.423143797217522	-0.431070147977663	-0.427297730292394	-0.428145622939965	0.391608005199772	0.248273621289962	0.0035303540723218	-0.431910391639336	-0.428232486177491	-0.431462796422559	0.0605247083643516	-0.428197841302409	-0.356590248574638	2.05565141474214	1.75841897262022	1.8670100699184	-0.426947100055777	-0.195906665212868	-0.165817470699878	0.25847146579538	0.269611199013366	0.21771242299045
DLK2	-0.859908044739704	0.442582589713749	-0.247837899618038	-0.774994311719401	-0.871723735621516	-0.500332643614869	1.48352893437795	-0.873207260784473	-0.388108438091264	-0.696206366561147	-0.850445684851902	1.27546091980413	0.616977661806517	1.01913686991179	1.32670933915898	1.26637099718332	0.799668866926875	1.15607222163133	-0.769685109257983	-0.870209936901204	-0.868325906472471	-0.873056708752234	0.939332132039716	-0.854749348990829	-0.232736751285657	-0.838631444200383	-0.473434180027008	0.604157822406245	-0.0730913098302492	-0.846028585512284	0.109784663693312	-0.860709055271257	-0.105756070339843	0.0647693492421562	-0.868826538054691	0.168084404861565	-0.865335048199256	0.758569310224537	1.00934607818244	0.251889180011645	0.555945626340947	1.10786007088573	-0.0452567528017156	-0.860884457603821	0.0415024586920454	-0.87384332272682	-0.317510352782636	-0.868496973220723	-0.869535353216712	-0.848985922316551	0.971512500525053	-0.766232866259838	0.00613857790307605	-0.856822468300511	-0.416330168841479	-0.858781064736783	1.50192842908263	-0.104247687323279	-0.539396167625943	0.805886094830179	0.455787812707686	-0.861605871641508	-0.84398498443168	-0.694167463622428	-0.0130944215556421	1.12504152321036	0.295558892243285	-0.857640065841034	-0.86019111156492	-0.463693421242744	-0.863552579210694	-0.298348302819664	-0.871518074838162	-0.860452968772108	4.44980248069065	-0.862919055171359	-0.860348159420345	2.66556693035371	2.04407950031452	-0.873406078293634	0.693924086411487	-0.856585129049206	1.19085085896445	1.68890782921879	-0.854299490575411	-0.868768543949557	-0.256898300988458
