GSM623902	GSM623903	GSM623904	GSM623905	GSM623906	GSM623907	GSM623908	GSM623909	GSM623910	GSM623911
Lable	1	1	1	1	1	0	0	0	0	0
CBLN2	2.10676253833716	-0.595339223739351	0.699286764636705	-1.23160708640476	-0.940552374865775	0.549978132263437	-0.0179422826167714	-0.956623799475452	0.0830489532850616	0.302988378579745
CNN1	0.518947404767258	0.290192035415339	1.15610393374338	-0.272017616235028	1.20449383145842	-1.60309231911539	-0.887110026048378	0.0133190850188923	0.871133661956687	-1.29196999096118
COMP	-1.37123106984109	0.447709467499419	-0.849537757553143	0.382991345041907	0.791608722214036	-0.429395340762392	-1.57034741107837	1.02903222254029	1.27642574631446	0.292744075624866
CST4	-0.605686909597338	-0.402785930315557	-0.639265113766788	1.21857668985127	-1.16281781061064	1.37567064727349	-0.498415024165193	1.29671896065922	-1.07631484063172	0.494319331303281
CTCF	0.741848068344817	0.42425221762146	-0.109287417187771	1.29987101414921	0.333280369543275	-0.0868371983181807	-2.27989178117451	0.491839328546897	0.174468214942601	-0.98954281646779
CXCL2	-0.131574612551162	-0.0142598500265204	1.72638222684712	0.458606024113079	-0.116073891602359	1.12898481907039	0.475882771877008	-0.930229462698911	-1.43638918167346	-1.16132884335518
DACT2	0.164055196222993	0.240123891692219	-0.610544962940147	-0.251303904229875	1.49630805333243	-0.184921972635056	-1.12653792764266	0.300008180945996	1.54315196725058	-1.57033852199647
DLK1	0.42083443200981	2.23033597514469	-0.814176253167235	-0.733280726349305	0.0489880865446952	0.272769478252081	-0.846437057237972	-0.798687306561981	0.882041777402341	-0.662388406037097
DLK2	-0.799640305154692	0.208284030367356	-0.188686419141983	0.19449495718523	0.526808943933038	1.2883151033106	-2.12821188332469	0.50527986354579	1.04653693274036	-0.65318122346101
DLL1	1.57505409900857	-0.659726325185314	0.158171135136255	-0.904064448995475	-1.1226585002924	-0.0231098013725525	1.72472353320293	-0.48719869074908	0.475446888503601	-0.736637889256544
E2F6	-0.281764141642233	-0.748505091948139	-0.747146359787879	-0.739188173479798	1.67826681834333	-0.638043749391157	-0.743873195938287	1.8414633470405	0.278746233282849	0.100044313520815
EGR2	0.196943283305889	-0.332516397728265	1.36827428073592	-0.527402263084763	-1.5461940845308	-0.878870805739239	1.16990738791302	1.27387658109668	0.0145827206124336	-0.738600702580868
ELK1	0.736164710526165	-0.646156546950874	1.24093011704012	0.850995601340421	-0.0136362147048475	1.26944245266902	0.00743820503820442	-0.839080798166282	-1.48303210654143	-1.1230654202505
FGF1	0.31723263520926	-0.32209348819278	-1.20171682358823	1.42524842422985	1.20329360550744	-0.294083965799053	0.0839283119998431	-1.204267673744	-1.08275821896182	1.07521719333949
FGF8	0.486613587278134	-0.655421330461965	0.18936378530707	0.8865526559483	-2.15420615231027	-1.03440856933695	0.422046853679636	0.96615710389998	0.82784207411399	0.0654599918820712
HEYL	-0.49057350860902	-0.417922878250836	-1.42220482056803	1.03864148639786	1.27856743442077	1.0505500718688	-1.59904725648126	-0.0242529851295123	0.205187079107326	0.381055377243911
HNF1A	-0.596768269173207	-0.908036992516189	-0.998371399306382	0.855013197278393	0.225274592220855	0.474481886557121	-0.653612308394395	1.44939270477693	1.35616993311995	-1.20354334456308
HPD	-0.246109030379251	-0.0152184658457849	0.219135616676924	1.37621794873944	-0.535689046196056	0.96189728532808	-2.15197051187195	0.325651479447952	-0.690070276265932	0.756155000366568
HS3ST4	0.355969569373375	-0.762422412829312	1.86565140523565	-0.891504090847248	-0.275671052235937	0.819525615996859	-1.39952127562915	0.933608974783015	-0.662109791177277	0.016473057330041
HSD17B6	0.474356935072349	-1.0156118165695	1.25208712694114	-0.35129181273221	-1.44021813583668	0.883341072005382	1.20421270071794	-1.29923326771424	0.0539869003715014	0.238370297744329
INHBA	-0.0891375401934477	1.70788256672575	0.34883896773434	-1.21529753513577	-0.445959006943486	-1.12395536890976	1.06483946212343	-0.0837135594713334	-1.04615113156529	0.882653145635578
JUN	-0.118535976759198	-0.335869173949674	1.73912686762707	0.737460231309985	-1.37985913436629	-0.833271750359533	0.675480581003408	1.0163407187277	-0.537308487638438	-0.963563875595022
KRAS	-0.812398713156154	0.100028873230448	-0.572048026030637	0.735729873630029	1.75020296999723	0.336885659050121	-2.02091662934109	-0.064363977984592	0.42669987136336	0.120180099241277
OXTR	-0.66777074293609	1.59990142918017	0.450100478132234	-0.0805066677597451	0.00842635179115305	-0.391147453946952	-2.16485902775738	-0.0230791099129463	0.36987938336236	0.899055359847196
PDE1C	-1.81825217488408	0.488786409575966	-0.186017971007489	0.402888142896701	0.776103654636371	-0.182823105149679	-1.70974914130263	0.877088829334241	0.586772935914948	0.765202419985656
PENK	0.535893927775647	-0.348804313035981	0.766725186023768	0.791545769246552	0.399300375821756	0.0931775489697318	0.66997079710598	-0.9879187906	-2.3636517751134	0.443761273805947
PITX1	-0.581432926220347	-0.0259487781461836	0.339547228367072	0.897365410903131	1.83173064850433	0.384835624133741	-1.80140774286293	-0.995485644215346	-0.0315931229483004	-0.0176106975151768
SLC24A2	1.28154798977467	0.308222427610766	0.700876562784725	-0.313984039874919	0.914287626004657	0.42626450489759	0.471723980704351	-1.91792723092907	-0.891429465282706	-0.979582355690071
WNT10B	-0.632312109920309	-0.390464311906291	0.38657117514843	0.891860893555346	0.333594266322657	1.1763510639263	-1.5824236797389	0.693602643211364	-1.58692339792702	0.710143457328427
WNT4	-0.0204613922345219	-0.109030775361262	-1.69672552922678	1.01156128973786	0.666750818921605	0.466919304201628	0.159199680757257	-0.774013756705592	-1.22228207169504	1.51808243160485
ZBTB33	1.01878925110903	0.235370895361659	1.41591036122564	-0.756953629950532	-0.00680157497756281	-1.21653392260616	0.683474317867472	0.884470750587713	-1.28823228972547	-0.969494158891786
