GSM952871	GSM952872	GSM952873	GSM952874	GSM952875	GSM952876	GSM952877	GSM952878	GSM952879	GSM952880	GSM952881	GSM952882	GSM952883	GSM952884	GSM952885	GSM952886	GSM952887	GSM952888	GSM952889	GSM952890	GSM952891	GSM952892	GSM952893	GSM952894	GSM952895	GSM952896	GSM952897	GSM952898	GSM952899	GSM952900	GSM952901	GSM952902	GSM952903	GSM952904	GSM952905	GSM952906	GSM952907	GSM952908	GSM952909	GSM952910	GSM952911	GSM952912	GSM952913
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
CBLN2	1.19630871796062	-0.783989711059786	0.450761537274441	0.623948118227906	0.498738199371271	-0.603983346459002	0.0424671910216437	1.06662328703372	-0.897053972862857	0.294545386914319	-0.196506490242953	-0.532598939038049	2.78887856100643	2.08336480309798	0.469400262552128	-0.426515525356933	-0.741096364129896	-1.14766370538022	-0.208217913278132	1.0164697539812	-0.54734125351214	-0.190685657433538	1.43526333922687	0.883027988240721	2.89540493043396	-0.658898506039203	-0.588663646445832	-0.828175218806762	-0.271285573438642	0.0498817709694478	-0.543641761152435	-0.939989172933291	-1.15325170430236	0.260774734063571	-0.11704462182154	-0.797106173506531	-0.457542843124858	-0.37951866521865	1.4448193856827	-0.850777329211456	0.143008351473029	0.208614645013569	-0.416317236700593
CNN1	-0.404387681405214	-0.0707461420159018	-1.17969411301102	-0.126993117871855	-0.726859490392482	0.566482078101127	-0.914423350099452	-0.140982694882097	-1.01075486275138	-0.109927748986742	-1.03333816747639	-1.14623273653201	1.60127687922177	-1.06123998760652	-0.638325702396849	-1.08728574469639	0.903610697108553	0.908388736616454	-1.23837309350274	-0.776697991954298	-0.0803177529314759	-1.37743662123825	0.0394693575281751	-0.466123271432003	-1.02761677945921	-0.0867797387003648	0.06555908070156	-1.28356304322706	-0.11669909084007	0.00668098609185035	1.48614435369044	1.39484957178538	1.55128295808799	0.786603075160073	1.38848451743086	0.303731902024632	-0.431709477999585	1.67878469186535	1.92733262506119	1.02827826885301	0.579154897527552	1.74604934868219	-1.08728574469639
COMP	-0.999057836238292	0.805320675194327	0.512520760286183	1.27244846774299	0.353159207480256	1.21058700425683	0.061458995315038	-0.126142260836402	1.65814730759115	1.10890591795376	-0.450112024668736	-0.865291206340183	1.8088607201608	0.219209458052239	-0.40740888739933	0.0729823852231482	2.15179928957194	2.271608796009	-0.88012553017138	-0.445275610036101	0.673585039644891	-0.767223425659994	-0.949764366592576	-0.206278641707656	1.65814730759115	-0.822072169113299	-0.310151852925109	-0.389003153134053	-0.260858383279393	0.0928323138355374	-0.344427016560382	0.852178974069855	0.0585571502002645	0.0320520795678857	-0.198720572997133	-1.21036299810523	0.283816539780464	-0.327141689647891	-0.248907763394233	-0.412064077388938	-0.546780199831929	-0.301764619642513	-0.596073669477645
CTCF	0.527779975442869	0.344893893792607	1.40138644792992	0.587381173530921	-0.690341595683935	0.322691522272909	1.36973208795525	0.943142226041481	0.204889783432169	0.832509937817204	0.706294537768047	-0.146574715568549	-0.242409124938285	-0.418410627521756	0.414275547193993	0.591842664724578	1.78905159320778	0.828878492978923	0.0669493564638452	-1.66459765946274	0.889131962818789	0.398625336280233	0.121430808597334	-0.197873720031791	0.578406876575191	-0.242409124938285	-0.573890579378927	-1.7667781808603	-1.27535656654427	1.28170654716145	1.16215174146061	1.64428234209847	-1.13303804093714	-0.640831085420192	0.30575908242518	-0.154970020494145	0.618260477082779	-0.317387686019901	-0.171943361385133	0.685926371826075	-1.23018303180302	-0.833116284820386	-1.41494300927475
CXCL2	0.0340510111627009	-0.310384610470406	-0.530989179051818	0.155434896467765	0.0705543032033676	-1.76363671035192	-0.587354473238685	0.43920990759116	0.185835949615062	-0.0698316818015285	0.0586140052069778	-1.05670721039997	-2.43629891019621	0.316818066076386	0.0705543032033676	-0.297716675677184	-0.666125853020134	-0.467260808729468	-0.798240297354067	1.55181042543612	0.821832849003378	-0.99855762018468	-1.32346359555384	0.603726290722474	-1.76565674667824	-2.39574873411961	-0.587354473238685	-0.781828285244567	0.172500471569569	-1.00684937185353	1.2835604686784	0.575448660141488	0.598517555684823	-0.176094314052543	0.919056231786955	0.733352390125396	1.26516829738764	1.64807600336219	0.452454352098412	0.632475369098383	0.42568855577765	1.0571848051759	1.61272579686701
DACT2	0.138389822708523	-0.853681226655976	-0.0327793128031694	1.03298932130287	-0.00323463765807689	-0.901933224642255	0.613190724019596	-0.0060507020964869	-0.405089234060193	-0.373081582097718	0.250525680501898	2.9871528873054	-0.757806042694373	2.47587329706037	-0.592719429602849	-0.0060507020964869	-0.917739117476281	-0.0376391774176422	-0.907170274939012	0.692991469815455	-0.649577555812367	3.0176143965842	1.83388179099079	-0.923071676872071	-0.647621694758608	-0.216488420643208	-0.63790727300636	-1.04634017164408	-0.689639463710561	-0.556763440526375	0.580084783045234	-1.04326765249862	-0.0643580953235201	-0.871151002428596	0.555648570092347	-0.894135810463626	0.257515385366128	0.653998236143898	-0.594556505288314	-0.45540312670885	-0.2321639486313	1.00671504477808	-0.843852515211554
DLK1	0.0271121088786301	-0.0767680059532884	-0.839918975603754	-0.701079681178345	-0.815574799761215	-0.73159039673168	0.536534132064197	-0.310528709015113	-2.02607528734036	-0.0240787091607916	0.156904463933379	2.01031117720906	-0.260495217875466	0.953360516010763	0.0102097394109369	0.561710614108844	-0.00685284447745714	0.233515562910296	-0.595809945287158	0.647154611479664	0.218451967703278	1.98780977018656	0.682567342845163	0.511000524907261	-0.183226311793627	-0.187011989577109	0.0271121088786301	0.0271121088786301	0.751368932295014	-1.37510295431835	0.511000524907261	0.839195576105809	-0.0414710098964471	1.38890976170161	0.953360516010763	-0.826353808751337	0.963388893605749	1.2748388089588	0.349690652798109	0.705794621534661	-0.17567875724539	-0.0946794882882517	-1.52806874659516
DLK2	0.0317120878854756	-0.258978885354379	-0.414798175364093	3.1511292856084	1.26281143820384	0.961789355135302	0.726074707647176	-0.373910224204858	-0.761941032826357	-0.804309572701487	0.456363325600448	-0.217090573058181	-0.799527572798451	-1.87555778583614	0.508947499546094	-0.569958423562809	-0.601924993536846	-0.324680784348271	-0.542668112485957	-0.425241118468775	-0.531159207520117	-0.118339939051843	-0.601924993536846	-1.01880049313885	-0.794764511558497	-0.471571967617784	-1.3235061055528	0.024517621419265	-0.315072173522513	-0.941181860141553	0.983656710120855	-0.0679450111229564	0.983656710120855	-0.394180446582472	1.15503745865133	0.429183154309481	1.87544747138476	0.437743129172306	0.615066552987763	1.27987089290214	2.27568054941341	1.34578719093236	-0.347403996708751
DLL1	1.84980745630048	-0.545686032639856	0.575963207730424	1.29316014343568	-0.33326708580679	-0.667503341599736	-0.189089025756245	0.0568379458177393	-0.956078968891063	-1.5090563028528	0.785974579862331	-0.1181285998733	0.155115056195428	0.310028896396499	0.803406588069041	0.289629230958793	0.862958624540241	0.453672087597861	-1.20867870975047	-2.02179981488238	1.35044156080686	0.271445379211912	-0.75509255033398	-1.11219455302117	-0.473526210824792	0.0885583787203997	-0.226470877314076	-1.15260155821881	-0.137359269493638	-0.687071622647239	1.35044156080686	1.50549066652098	1.11596945108186	0.38550253641572	0.667625568566231	-0.319302451924033	0.532026368832559	1.10308932523507	1.28329893591917	-2.26709358521729	0.610580621159402	1.48120124563969	-1.09256473285302
