GSM1588970	GSM1588971	GSM1588974	GSM1588975	GSM1588976	GSM1588977	GSM1588978	GSM1588979	GSM1588980	GSM1588982	GSM1588983	GSM1588984	GSM1588985	GSM1588986	GSM1588987	GSM1588988	GSM1588993	GSM1588994	GSM1588995	GSM1588996	GSM1589003	GSM1589004	GSM1589005	GSM1589009	GSM1589010	GSM1589011	GSM1589012	GSM1589014	GSM1589015	GSM1589016	GSM1589017	GSM1589024	GSM1589028	GSM1589029	GSM1589031	GSM1589032	GSM1589035	GSM1589036	GSM1589037	GSM1589038	GSM1589039	GSM1589040	GSM1589041	GSM1589042	GSM1589043	GSM1589045	GSM1589054	GSM1589055	GSM1589056	GSM1589058	GSM1589059	GSM1589060	GSM1589061	GSM1589062	GSM1589063	GSM1589130	GSM1589132	GSM1589135	GSM1589136	GSM1589139	GSM1589142	GSM1589144	GSM1589145	GSM1589148	GSM1589150	GSM1589151
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
CBLN2	-0.320949321075862	-0.321913234683322	-0.330138175602277	-0.311641484480901	-0.324703969244409	-0.309795213387018	-0.302200131018965	-0.318521787849142	-0.302712193711148	-0.288654434856004	-0.307428698668171	-0.287392800642878	-0.289832776212423	-0.289029754339425	-0.300867692487412	-0.295979231905826	-0.373369362732414	-0.357108262920119	-0.348059012423668	-0.323231423262677	-0.333063449231667	0.991024446595947	-0.310530424802537	-0.331999730249832	-0.321714148527941	-0.285625224592989	-0.297858893166995	-0.298290571091826	-0.295005949427014	-0.295137805433166	-0.316063835714816	-0.304761754014048	-0.293167826603364	-0.295168747546688	-0.318259277078028	-0.305979322968773	-0.293579116232545	-0.301948688232513	-0.293937714160244	-0.314313343481938	-0.315707301314273	-0.297933509113916	-0.306274176088911	-0.294948306361138	-0.321152190719681	-0.32755050314575	-0.308875931316186	-0.296540770770489	-0.309316859933189	-0.315812779305755	-0.326813842274288	-0.310985790107687	-0.306379059902732	-0.316888175183164	-0.318261337686507	-0.250347226580905	-0.0881526793711888	-0.343913924671184	-0.286627771838709	-0.239475923198678	-0.275460016770942	-0.311322596196074	-0.317274399521068	-0.254965466941654	-0.288915139183255	-0.276774592368428
CNN1	-0.166471704838137	-0.120813013445037	-0.851665925447301	-0.839783258613297	-1.07112072283922	-0.500321025299311	-0.703005700598656	0.2683501955865	-0.961642213587408	-1.22858619573341	-0.924776075475414	-0.978964459576475	0.429057216928584	-1.2883123179803	-1.18087455146251	-0.870258876051695	1.19006696448217	1.16779805636969	0.874859954760469	0.539049592174654	0.695286797796749	-1.19538161579584	-0.6102561269973	-0.58056358938442	-1.12790603724506	0.488041072265397	-0.610398394021179	-1.1724066022123	-0.835859281662368	-0.906617661302884	-0.984403923027681	0.221822335826683	-0.970385750586808	-0.707074041659951	1.46188007571917	1.60377054494045	-1.38080156739369	-1.30561836596294	0.998393513283899	0.276366069448012	-1.05105706326518	-0.857252235272975	-0.598569975392088	-0.546851492123822	0.231643462996424	1.21060645323643	-1.13911597813794	-1.03003860920658	-0.722858769307065	0.117561132183149	0.0753149873789087	-1.32616068207188	-0.859671217645626	-1.19370489287714	-0.37245679709345	1.99803691612046	0.609299844553707	2.35437282559068	2.69964131597313	2.07165945353417	2.28663709555134	2.00150917462956	1.93622956077506	2.22781672456086	2.20580869252524	1.11474390844085
COMP	-1.10539312506003	-1.0796923592532	0.499718074394237	-1.16308907039023	-0.790568920849957	-0.0644055357775719	-0.014486310517521	0.293116376430707	-1.35234283890671	-0.509595596227345	-0.468770600133815	-1.4367382011357	1.00648116157984	-1.34334185258973	-1.39987293653163	-0.709380590848993	0.826819606456979	0.873801459459851	-0.698896528301934	-0.720223471102251	-0.324507420293009	-1.27590808665561	0.686972091598059	-0.309696045967002	-0.304085234172006	0.254473538988901	-0.699599320968863	-0.293936866282356	-0.19815785374774	0.0140462214193588	-1.25670530798456	0.906166679519503	0.428177370377521	0.336690387739036	0.00423039227380565	0.0790756945133194	-1.44471590001206	-1.34249457786574	0.299497349906659	-0.836115938275627	0.599857597711136	0.513448085300788	0.448263440357429	0.391378087225383	0.559238252107085	0.672444231528525	-1.16596453243928	-1.15608486429822	-1.31343003424315	0.543168678055937	0.477824871259771	-1.25537010532082	-1.15141398805468	-1.25699705717513	0.929390877280239	-1.35937654275933	-1.36663734145311	-1.52545125418611	-1.23846665661243	-1.37499612264718	-0.837970320947518	-1.35441731223973	-1.41966098087329	-1.13014878237622	-1.4300427070603	-1.42845533063474
CST4	-0.784083015405346	-0.734358501195196	-0.868888515576548	-0.898580007738304	-0.386117180076141	-0.639674947509256	-0.664088209784171	-0.195666574994781	-0.673592634661582	0.121195179470337	-0.229572413308088	-0.236582420690459	-0.704614094405043	-0.659987459572641	-1.00977038169472	-0.347239601581126	-0.306036487518666	-0.587814846167722	-0.387885012027287	-0.347633117186001	-0.677772966370677	-0.432630198939542	-0.519078189730624	-0.262729730084686	-0.0777829259575304	-0.63711310740907	-0.370877699406658	-0.778054884350862	-0.844241931198987	-0.279100129906498	-0.648065574720775	0.18361303638806	-0.85906893789316	-0.722492834366592	-0.390212653353499	-0.360905209412508	-0.829551271388979	-0.624236907737438	-0.688394675766532	-0.649877380683587	-0.828939600706376	-0.43293827340128	-0.725780249455787	-0.624672701656068	-0.586423403810464	-0.69749712879535	-1.03739199152952	-0.938834160634934	-0.731137839595087	-0.924639173817275	-1.50767748452558	0.879659494429274	-0.69155893475123	-0.209939620321158	2.04198063098724	0.0499681697200843	-0.0866748751941993	-0.873955957991971	-0.465942861178727	-0.246617543805161	-0.451105061265005	-0.646270661357695	-0.146306677653002	-0.288834819175428	-0.305971344906139	-0.287722011837059
CTCF	-0.345558179044095	-0.343123355327913	1.09105768676761	0.570887294804527	-0.273614957498328	-1.3719463119112	-1.15994079323503	-0.277615699544504	1.31413066559899	-0.428255185116185	-0.404979061341349	-0.569146683720033	-0.935062905249344	-0.650092981489618	-0.569619788225336	0.379034203983927	0.808843805617141	1.08143318712939	1.19984870003084	1.25504593249686	0.0574576619795852	-1.48160029041562	1.59709407566191	0.556459595491132	0.0807749185207809	0.635081947746206	0.656075638490956	-0.516030688399129	-0.0506285115783073	0.528361997995783	0.76500500953164	-0.27685715854763	-0.72653296907233	-0.399910205943558	2.13810352572722	1.91163785836358	0.121132969306302	0.264070452998983	0.26783697954129	-0.489483366328936	-0.501916208486526	-0.305101636903502	-1.69127903949097	0.00724195367015993	0.183310123809455	0.565215878286873	-0.0970737781096525	-0.214175051474747	-2.39299580177776	-0.984172391345538	-0.344160572109781	-0.759099482037569	1.10334180503331	0.340382851646871	0.524723704607005	-3.16958848593381	-1.88265519276538	-0.308859005606404	-0.228480784737389	-0.44636775643033	-1.12837044515078	-1.49756531530349	0.469804900608577	-2.7801911475084	-0.425377628188806	-0.846290585535389
CXCL2	-0.0168836822902188	0.328072636049974	-0.592935552557873	0.273094615072589	-0.101425666971273	0.973461271331317	1.14356928153831	0.533811387175897	0.24069647423063	0.000386323217508457	0.223104036431538	-0.278390669846486	-0.13596051573836	-1.45040361729656	-1.45471317848709	1.15436982778518	0.778842232911117	0.570216175638177	1.00373779533217	1.12267981144809	1.38649768310747	0.52140781387701	-0.671519375548174	0.143312862108612	0.158840408605166	-0.55808789605922	-0.0159254195227928	-1.19765428985015	-1.42111793450945	-0.565065498417445	0.0943701462795955	-0.623275518746774	-0.77023410175075	-0.895911268856882	-0.927483488989214	-0.700523511152215	1.77471244703326	1.92660649115789	0.55021902724262	0.568209389015626	1.50975503563876	1.51547844910008	-0.329429562988813	1.04049057868347	-1.40120495464544	0.948825435309025	-0.718681944236598	-0.219606429923245	0.607947962503264	1.66262942908345	1.54611206385187	-0.0770114022080109	0.336335650139292	0.463549340140295	-0.409226328955765	0.286505112741403	1.45448792030522	2.59005358393629	1.71089315538691	0.448595738264847	2.18563026662422	1.24447968456234	1.16879824171707	0.874583433597655	0.353165320866032	0.657056961338807
DACT2	-0.0835852370890318	-0.178231674877051	-0.200499729057873	-0.109335493193963	-0.225418187855294	-0.368191833477467	-0.353948840243937	-0.113608175666253	-0.107916197736639	-0.119524193832527	-0.179654214568933	-0.548355686884497	-0.545226285167225	-0.0890659234470752	-0.196734576744486	5.9132560482515	-0.292984473604603	-0.224558246174284	-0.159751895462652	-0.140314866852518	1.90368466679503	-0.206122812401922	-0.596503780950221	-0.194064776336673	-0.206179844453797	-0.572649627495509	8.67361034655057	-0.164876829530043	-0.145583875496237	-0.0472565848380089	6.39545163506369	-0.101780959529739	-0.110490897134398	-0.0882485685489066	-0.252530333757681	-0.379803649685	-0.13230687507947	-0.0926622830343312	-0.0629261962670979	0.651832629818983	-0.322870273835554	-0.207512895833267	-0.108946136747499	-0.0904802432950711	-0.145976315857962	-0.225651796237727	-0.0330069880075379	-0.083994409428771	-0.120783200525556	-0.202533848632556	-0.143296676138012	-0.0994201819214899	-0.129741168498352	2.1510345272745	-0.160024220473647	0.925987035993576	0.933316621324388	-0.345532144714316	-0.0128713541203018	0.638541060740834	1.85409804454239	0.0804199158484329	0.102449744812217	0.864566963301552	0.317534443351355	-0.00803847411255955
DLK1	-0.451421759481943	-0.454085013208908	-0.456772188067766	-0.451389158433245	-0.482979796361875	-0.526501953826502	-0.485372656368357	-0.451337908169543	-0.450418955719724	-0.463251621492195	-0.457441230250618	-0.274161043680693	1.95526396961631	-0.519025472496593	-0.47691687965864	-0.281839803218665	0.314270910224915	0.20941285426862	-0.488172370469023	-0.454254262667278	-0.455699588200252	-0.481367245204232	-0.281818239717832	-0.516130222598535	-0.481402704603257	1.25233093591382	3.2722254637903	1.24003315663172	1.25145801764473	2.70716408755316	-0.45324500919302	-0.449670756380543	-0.457903566523287	-0.450231464171189	-0.0986174420722626	-0.15136990044165	-0.494519461805276	-0.450108735614942	-0.446812259983126	-0.452776872679549	2.00188630026994	1.95266866503378	-0.450833461327594	-0.449526876115634	-0.457302417334006	-0.48361167109167	-0.478004706113955	-0.44892510242911	-0.45304324766136	-0.429713263723764	-0.455885668244968	-0.45293230054856	-0.452782702452432	1.66258504241843	1.21722832215508	0.489937935817826	1.62942357847854	2.26491194809129	-0.525678779992467	2.53142321666399	1.69303499050945	2.65529543375568	2.46809963516209	-0.42260513962288	0.501732312031493	-0.45617855959169
DLK2	-0.305387302964051	-0.278925123225694	-0.287064779727915	-0.269067671327995	-0.208075391098336	-0.171875043426353	-0.213334697601591	-0.274744332190875	-0.265930823420865	-0.312890518806317	-0.290189978960779	-0.177143499775725	-0.180660235203051	0.178262185962084	-0.186320740262858	-0.205133111887143	-0.256225436726404	-0.303498070259264	-0.311198928866758	-0.276010122910628	-0.283501752000667	-0.200013520503286	-0.205518357340091	-0.312917028905872	-0.220930177280037	-0.185420091276277	-0.198318742916144	-0.208864115189089	-0.189635938976877	-0.253694290664139	-0.0310797185553375	0.102017265280668	-0.0764148572566956	-0.266484726383555	-0.234821217192678	-0.213606227196166	-0.223861880610885	-0.264355256538161	-0.248694576730001	0.406526928095106	-0.218788267519962	-0.20038660033335	0.0528333472954706	-0.262332769819672	-0.289837369407301	-0.210735458238832	-0.132885229237924	-0.261347192178307	-0.0956060808275187	-0.184463628641497	-0.28710838431219	-0.274834917434904	-0.279320736199231	-0.196651847717956	-0.267644179126354	0.654245422846297	2.07386897565294	0.363115399711343	0.828137507942372	-0.153133523418461	1.30665826884281	-0.165354398443389	0.16804794798061	-0.0873017627676707	-0.0616193642610652	-0.0440498832029561
