GSM1116084	GSM1116085	GSM1116087	GSM1116090	GSM1116091	GSM1116092	GSM1116093	GSM1116094	GSM1116099	GSM1116101	GSM1116102	GSM1116106	GSM1116108	GSM1116109	GSM1116110	GSM1116111	GSM1116112	GSM1116113	GSM1116114	GSM1116115	GSM1116118	GSM1116119	GSM1116120	GSM1116124	GSM1116125	GSM1116128	GSM1116130	GSM1116131	GSM1116135	GSM1116136	GSM1116138	GSM1116139	GSM1116142	GSM1116143	GSM1116144	GSM1116145	GSM1116146	GSM1116147	GSM1116148	GSM1116149	GSM1116150	GSM1116169	GSM1116170	GSM1116171	GSM1116172	GSM1116173	GSM1116174	GSM1116175	GSM1116176	GSM1116177	GSM1116178	GSM1116179
EGR2	-0.520428375664201	0.216028294943898	-2.00242134568932	0.466116983015555	0.254379279389946	-0.443384496063818	-0.289986889959407	0.0639856683130634	-0.448709438761379	0.306185083375016	1.21415429594689	-0.278273282360728	0.288215776150667	0.745654313758266	0.110922410544954	0.80328526314376	-0.178663296013487	-0.640268078918347	-0.563787718818657	-0.373748681809626	-0.581130189744483	0.617691065342443	0.583645623148881	0.714800038175371	0.598404768723215	-0.499001971278295	-0.413644596122743	0.22981236183164	0.14757650480914	0.524621704211113	-0.132397711838603	-1.02688677815232	-0.112712519393042	0.514307397844493	1.84725895745595	-1.81553548521226	-1.79873120706799	0.356477615891933	-0.419792657192103	0.0812078373230113	-1.09967576893848	0.212463559226031	0.0958150225825506	0.183781049808728	1.58012538740827	0.955758443999843	0.25343585910227	1.41106953720033	-1.07146180382513	0.234611775107205	1.67218801145409	1.29203395727863
ELK1	0.694937446685489	0.686452118820254	0.5012301730971	2.6933329082234	-0.869407747508675	-0.110631371042646	0.447094229091468	0.203034706508595	-0.673327268765366	0.947728573140237	0.952766036912474	0.711549882769929	-0.837100813182733	0.634868489792556	0.577508568972693	-0.362706058205344	1.62059940074373	0.617606780599693	0.368285906965818	-0.0127478527661266	1.58392666448185	-0.671177950889212	1.14407771661806	0.323575617396237	-0.0368157352334788	0.785790904408751	1.06580672396145	1.14380905188355	-1.50936714513356	0.680810159395351	1.25725273603431	1.20251229637601	0.0803444777447974	0.837195423613438	-0.220179416542876	-0.404998365164251	0.276962285957144	-2.35102659219878	0.996200168993088	0.60878562181631	0.509670723506578	1.667906782747	0.769939685072114	-1.69035762128804	-1.79455476082576	-0.251456469386493	0.295567318822603	0.45320635180178	0.649689827646868	0.11197975023444	1.61983818399593	1.46199765246586
FGF1	-0.90509639389566	-0.795839605632191	-0.807345214999998	-0.831990602271687	-0.847741064056371	-1.33945971937651	-1.08460250032574	-0.0525121394488462	-0.560034400245896	-0.92925684497575	2.03276662812027	-0.534392568744893	-0.291871329253026	-1.17628865534564	0.108300673239309	-1.17820847122746	-1.0169572230784	-1.09446065523441	0.177042039138888	-1.11830888712265	-1.06301951831881	1.84917510035001	-0.704146807650755	-0.824543842397951	-0.952460709595699	0.35000482846314	-0.273496897664483	-1.18358262710422	0.143222721995985	-1.18478500314093	-0.426683590517624	-1.18560873037049	-0.602170705222803	-1.13442471179142	-0.430509936358189	-0.0730986772264648	-0.591256319431055	-0.662448938134746	-1.16667629001353	-0.240780312135354	-0.757297142842342	1.41485163263833	0.846240697622831	1.61820597095665	2.36118136017897	2.45102077189388	2.27870899279945	2.78109624433477	1.73130903394527	1.9902450313747	2.60489833274601	2.04741435829118
HEYL	0.592569709959095	-1.18748505038838	-0.64614390045048	1.37524319190982	-0.76796327769148	-0.206926012064427	0.999781410350274	-0.84064304288087	-0.764046020481927	-1.07537644394022	-0.777829640476288	-0.681115488762866	-0.109397290510701	-1.57442402947311	-0.328013191696165	-0.988345605609289	0.73262996014084	-0.501260298517719	-0.00852791736471535	-0.767368367133954	-1.0449719382156	0.0675840241180908	0.13642890432897	-0.308756394572569	-1.11932660543618	-0.00628556218635019	-0.976978237725493	-0.76984868653533	-0.553722257221357	-0.776163890915216	-0.691997775730525	-0.192117315417099	-1.37075411198671	-0.783247902784828	-0.967963054661452	-0.998971623413707	-0.554033441205293	-0.750674261642776	-1.59918146113629	-0.712728120542761	1.4193214879874	-0.369135239926354	0.545159914759367	-0.596729714295396	-0.930264030254564	-0.251727353281158	-0.491769187007658	0.300999469480768	-0.706897997079011	-1.0331377943559	-0.446125818540275	0.239787749346447
HSD17B6	-1.10399372563189	-1.25708344849428	0.435792264193396	-1.23618619374807	-1.14077025294197	-0.752512134843111	1.76316409706631	0.103738847840876	0.693863456396984	0.600271486088094	-0.920358686886488	0.320882122869704	2.01231351502793	-1.11771064403165	0.340673440753365	-1.2327115712172	-0.981482331693158	-1.28971683919987	-0.243186943334979	-0.0016305247282237	-0.542590462461575	0.885306079261624	1.26711840116902	0.745958034579498	-0.294431435720155	-0.634861911143532	0.72610069061449	-1.02241024886792	0.742739263113849	-1.12334762072662	-0.878440378491528	-0.139633288002911	-0.466487150449381	-1.23649981763446	-0.483282534891938	-1.11406270303725	-0.261113024420596	-1.10689887321114	-1.11642313544539	0.508016543926473	1.03753746306652	-1.11506134751762	-0.746866904887971	-0.849892351569266	-1.34320621835083	-1.264767233711	-0.964612667909087	-0.734511774415978	-1.03619319334903	-0.859259801860323	-0.973616974752737	-1.32511507206185
INHBA	0.0459904850731484	0.0207833867584722	-1.99190578673493	-0.224480096703862	0.418142596374223	0.0943597932314035	-0.89255175662546	0.53371177706328	0.261490946659397	-0.604090553912418	1.15786450975727	0.854517398496567	0.536482271120895	-1.60600235016694	0.491362796468317	-1.00280862489928	1.24053957052417	-0.380823913745619	0.999374659223263	-0.522528088378173	0.098445172563981	0.808694306305548	0.156238558127741	0.831166091439531	-0.193934300316259	0.19010894738448	0.0312013239370255	-0.0521641615394763	0.704778791096932	-0.628888674532875	-0.263434122675843	-0.216757894219463	0.278729576351219	0.296755378164174	0.791895437575251	0.512955059679248	-0.00456443506389159	0.147170687101073	-0.373664605291975	0.621883849849262	-0.49560152470393	-2.36283976017258	-2.08239100217854	-2.49582347493807	-2.40318343078298	-2.20846167462884	-2.46330315183322	-1.61526811362629	-2.47889267791932	-2.08532860540154	-2.53283815506972	-2.36510892673405
JUN	-1.44356295321558	0.405812703442864	-4.34578242706179	-0.0701135708633513	-0.720951398131852	-0.0471576012382369	-0.957588169543043	-0.0514975824291023	-0.19482007143196	-0.00426396424169887	-0.594970086673487	-0.0578247688304713	0.590350953344712	-0.0076853317031801	-0.17312953908712	-1.57096905331544	0.883651194083718	0.153128312595905	-0.953351298056497	0.0382828492039492	-0.330690540895426	0.81634867799212	-0.554607324237496	0.721112805639666	0.254428910284189	-1.13595858440474	-1.12492584604265	-1.00185035352417	0.257803409698253	-0.675189436633358	1.17010869989976	0.543482905927165	-1.21420947637308	0.868465946720432	0.00396606488482208	-0.0456484501113925	-0.045132901589799	-0.238932277661355	-1.67798755278867	-0.453428583472496	-0.883733500422474	-0.361782803552227	0.64902974871148	-0.0853738071025044	1.89065806089712	1.29402781727175	-1.15641180029776	1.2057284159371	-2.75703998209232	0.458698608148824	-0.216716823185438	-1.39691049881616
KRAS	0.693486386703625	-1.60752019375701	0.910116417022418	-0.0689278521255943	0.27243281093504	0.735437409414323	-1.26420929920581	0.904784848918717	-0.67160550447946	0.304001306285901	-0.647697630667075	1.38013623669078	-1.18993213725583	0.929197818656713	1.89112494810337	0.871673004906259	1.52493040203339	-0.665853023104415	1.3524962652058	-0.911750556224048	0.0169384552287447	0.261068152608732	1.17374842930804	-0.792141034950233	0.258682977404443	1.02151812950501	0.187829243394735	0.134232953510164	-0.402571771878241	-2.17968163393838	2.2797682019784	2.46019969096154	0.0581879558205364	1.10303499972212	-0.0868868183696398	0.166082057708588	-0.590720004169368	-0.297203149618258	0.133250822543692	-0.158161465650691	0.582786196339943	-4.48667921329448	-2.65920006309675	-1.39089016343822	-1.19738230215863	-1.47026037597147	-2.10285093147557	-1.48137248633497	-2.37636037519542	-1.26618759158113	-1.78038927429832	-1.56321205672678
OXTR	-0.561633263015791	0.288571157350551	-0.211698780237864	-0.839756148848697	-0.58195777215464	-0.716240535839042	-0.661470322275014	-0.456126867155646	0.332478271202436	-1.00379562921771	-1.03806195065993	-0.942121256658441	1.62460309932856	-0.853280791424261	2.02038036349541	-0.791773286756119	0.707605633842742	-0.727107807248464	-0.610525555114993	-0.125786846492902	-0.81672003647909	0.224969460648808	-0.797505198816213	-0.721926559229077	-0.732238994900513	-0.677506326611987	-0.783542528026449	-0.829135007578683	-0.795048069119419	1.10622382385597	-0.738258754072795	-0.822230848583446	-0.341426050494593	-0.128122996968632	1.55600370928767	-0.778448885649903	-0.698982224199589	-0.645392600965259	-0.797375876200592	-0.409028404886023	-0.7939091957625	2.75660984252709	2.17033202215631	1.85117215019885	2.54364469648065	2.240608434503	2.4237083997356	2.23040863465807	1.96590216874085	1.81758998711023	2.48069378455429	2.03260760821749
PDE1C	0.00346085923095663	-0.323736642480548	-0.262043916654507	-0.297048676317902	-0.334777902817749	-0.304420763051831	-0.297993383084721	-0.242702732580251	-0.332778835820104	-0.306175218475924	2.8957312351394	-0.371039459876287	-0.362629882675226	-0.348045971962452	-0.341989726796593	-0.322791935713728	-0.348552064873249	-0.395787403214215	0.982961513667513	-0.431525997598264	-0.321197743044721	2.97151864853112	-0.359078797417806	-0.377374056143085	-0.444726587688195	-0.0356263832461929	-0.310932491837408	-0.34616499331066	-0.327228683565041	-0.354987879722205	-0.251027960962846	-0.336017830449199	-0.359247495054739	-0.329776017882714	-0.312020591595619	-0.297436680882846	-0.336507053596302	-0.32469821901106	-0.338016897446844	-0.353857605554761	-0.0867755067639823	1.19769673571828	0.602303730812251	-0.151859055092357	1.23199296530656	1.31564168857931	1.88868225659185	2.12892456134674	2.57189081640285	-0.0827351983594605	1.03003658925339	1.47592974831027
PENK	0.445878442559561	0.402553271643573	-0.0225427319792922	-0.977695123527442	0.0257145454472206	-2.21036715526587	-0.757426602047574	-1.59478868516788	0.274511918311502	-2.3914044765934	0.28402153543964	-0.212251534688061	-0.114544248195235	-0.413049518047948	-0.417240196782383	0.148630376327179	-0.319823034201938	0.240922016455506	-2.31216841252234	0.094764036594576	0.420831078123756	-0.613009365660948	-0.0455914650186734	-0.465175114306245	0.0887681424053106	0.843477146486489	0.242694995920073	-0.39274084418108	0.356584749525865	-0.429586581053828	-0.0891745238567821	-0.401380089572065	-0.410986414670997	-0.0344378123870291	-0.32697942404074	-0.385777870283868	-0.370981550752291	-0.361568641594947	-0.388711345397969	0.951467713873809	0.154884158438562	2.39467299803212	0.538266790658684	2.04958672224667	0.0338057790037035	1.15204004530184	0.484819518799526	-0.534740381297839	5.96848382275687	0.298076427195124	0.989828542289006	6.0427877803174
PITX1	0.0598146650705325	1.47948153954791	0.952616927848142	-0.535085799849553	0.389096152912938	-0.534034884015418	-0.86876252422743	0.0185662185807245	-0.169908968047467	-0.477767098729427	-0.166548226786222	-0.359030030032054	1.80904765042873	-0.0400551802921316	0.739631318796733	0.12996329699906	0.636975451769617	0.11913120097951	0.191540396655421	-0.412303799894753	-1.04281498573611	-0.28112542030681	-0.938889262076079	-0.489907366021677	0.082163047105815	0.859019736370472	-0.412199803015333	-0.643625700843833	0.499962299894235	-0.410371647345536	-0.429463284998992	0.653516429117308	-0.42928265884	-0.516913713550965	-1.70973602641428	-0.695881395992214	2.35892841360005	-0.417656902424879	-0.413053672130568	-0.333266171535832	1.38241960992958	-1.60411898508368	-1.78439538614963	-0.968796575189178	-1.13304596243256	-1.0052228505859	-1.6995169646313	-0.998802411661726	-1.53597366146398	-0.96977633526371	-1.27359500820821	-0.985074823578335
SLC24A2	-0.411889117924708	-0.412333091599901	-0.370645813389638	-0.390874363965596	-0.408910794520291	-0.399097126408224	-0.384566237997236	-0.416967066834722	-0.403768099449312	-0.399522601180283	-0.407125650367955	-0.399855581436678	-0.389949418808945	-0.400262557305604	-0.399652093502215	-0.390319396871606	-0.386906349243563	-0.323603102722366	-0.329152773662272	-0.349973289138487	-0.403250130161587	-0.420694595816026	-0.407911853751108	-0.411176910154087	-0.348410131823747	-0.329060279146607	-0.377444160291023	-0.405183265538988	-0.388867232975664	-0.402463926778434	-0.388857983524097	-0.404471057768367	-0.412203599277969	-0.395147610589324	-0.37705568332523	-0.404563552284032	-0.398005691123376	-0.38765555482045	-0.401871961878177	-0.392493017989736	-0.391068602448493	-0.367454752599192	-0.339373417643266	-0.389977167163645	-0.463343816989205	-0.406533685467698	-0.384177761031443	-0.385824163410282	-0.324343058847687	-0.384168511579876	-0.387979285625278	-0.368657181302838
WNT10B	1.38776760761807	-0.736803661469652	1.6080602486851	-1.11492011210989	0.0678676385627165	1.67012078716262	-0.17692258348228	-1.12891342730488	-0.614130168845134	1.21999629546593	-0.457122945304522	0.0441124085234743	0.276394017250935	-0.293471680862307	-0.443797745954385	0.218156586107856	1.13874598522234	-0.433033657342852	1.32065908275722	-0.113562930861989	-0.261996001060314	-0.842403082503469	-0.420933337041613	0.270232504459506	0.54122771464154	-0.0553626172658484	-0.381885677664611	5.65780732471867	0.207763672965689	0.178589281073745	0.0587367220163826	0.327579114476114	-0.230817261633809	-0.436337119020184	-0.372828996212151	0.133454343999184	0.308426460256975	-0.356905568576471	-0.818128206807118	0.249223972893552	0.197667700199011	2.17540195360667	0.624630842607441	0.0808587799904261	-0.454227776643487	-0.28307876772014	-0.505004580852365	-0.71638901065468	0.0166825413375376	-0.190878781130333	-0.317004205619933	0.151419236716363
WNT4	-0.453969566336686	-0.464740750385999	-0.460235428872451	-0.449824670544222	-0.411598750317733	-0.44915926921299	-0.363773029635455	-0.455286506471415	-0.45825308740649	-0.447863122869861	-0.440446670532175	0.266452137471242	-0.49042801427709	-0.479622173908441	2.19658732398614	1.60715264473672	-0.446338244819122	-0.29029470138142	-0.290509570561297	-0.305079087209725	-0.445201517544935	-0.498392036460269	1.04142288791243	-0.488757579685143	-0.30518305616773	-0.293268213580362	-0.474278169466987	-0.484231464379994	-0.479150847965486	-0.37354611168792	-0.465586364577773	-0.48595041781901	-0.48904176150369	-0.447273965441167	-0.472822604054917	-0.482942249300733	-0.479386510936964	-0.477979464371963	1.38411150476063	1.65801425899275	-0.470063961035853	-0.25860496298151	-0.388164147183417	-0.443745952132865	-0.435809655005154	-0.471082856824301	-0.432503442140596	2.85928546230972	-0.454295335738435	-0.450025677196364	2.08988744801759	0.204833201693639
ZBTB33	-0.248606669017216	0.6384988711184	1.97705963761018	0.674413220252119	0.702140852079917	-0.599465982128183	0.888746027497453	0.0175103738854211	1.03526227769472	1.16066199515845	0.300276990674112	1.49170425447334	-0.853351679532094	1.14344389923727	1.02096800938279	0.224484881647457	0.813619901426241	0.38445073884731	-0.622060672153062	0.962978761799172	1.10933257712926	0.611615900599943	-0.819711418538906	-0.262543580621346	-0.159608605288743	-1.04915066843208	0.266847895008264	-0.841688856068498	0.393660795816474	0.832218693718465	0.991729733290212	-1.15159833916313	1.58542917283678	1.53150079693269	-0.94623193658619	-1.35447948827221	-0.429006832508439	0.274043759624381	-0.662718119408466	0.903852470145288	-0.781490494291218	1.07310960174789	1.44021240157696	-0.737795515019526	0.824941611668755	0.995465735235375	1.74656456108033	0.146597362834166	0.77924868353074	-0.15099955732815	1.88999454880116	1.22628568149958
