GSM1116084	GSM1116085	GSM1116087	GSM1116090	GSM1116091	GSM1116092	GSM1116093	GSM1116094	GSM1116099	GSM1116101	GSM1116102	GSM1116106	GSM1116108	GSM1116109	GSM1116110	GSM1116111	GSM1116112	GSM1116113	GSM1116114	GSM1116115	GSM1116118	GSM1116119	GSM1116120	GSM1116124	GSM1116125	GSM1116128	GSM1116130	GSM1116131	GSM1116135	GSM1116136	GSM1116138	GSM1116139	GSM1116142	GSM1116143	GSM1116144	GSM1116145	GSM1116146	GSM1116147	GSM1116148	GSM1116149	GSM1116150	GSM1116169	GSM1116170	GSM1116171	GSM1116172	GSM1116173	GSM1116174	GSM1116175	GSM1116176	GSM1116177	GSM1116178	GSM1116179
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
CBLN2	-0.348846273732484	-0.331268523939761	-0.320884567482894	0.887560003644896	-0.350870140658716	-0.323618993015188	-0.322482099245489	-0.351521894414622	-0.337021598446774	-0.341500567867056	-0.33204278780016	-0.345773720311788	-0.353952494887772	-0.336570761262238	-0.343039294779494	-0.328181269306525	-0.323790507161479	-0.313783881826452	-0.31607727098257	-0.321854847510482	-0.345661011015654	-0.386937115421594	-0.359127321701576	-0.356701621632605	-0.335526975171954	-0.312122644809521	-0.321065882437544	-0.340726304006657	-0.330107128149163	-0.335958210739771	-0.320154407260113	-0.331626253444882	-0.342794274570507	-0.323530785739953	-0.319933889072025	-0.339084668606444	-0.331528245361287	-0.320884567482894	-0.334390081402254	-0.345509098486082	-0.328176368902345	-0.278971410533587	-0.283313168636836	-0.303806658916504	-0.366899362730642	-0.313068422816211	-0.336271836607274	-0.30257175706321	-0.126559039735348	-0.315214799846936	-0.341868098180536	-0.268758968223011
CNN1	-1.09934930582194	-0.632075701439754	-1.26205698188624	-1.2230312706676	-0.883470138353138	-0.640765995075995	-1.03267171473263	1.17176610432723	1.4924852654603	-1.22136186057949	-0.982927454630503	-0.176181129060018	-0.88091141634893	-0.869085128061191	0.233890476695589	-0.990379992500481	-1.10488280218876	-1.007620162102	0.393852207194397	-0.899420545643593	0.0627785429914552	1.14023973686888	0.670459417027288	0.658841154918752	-0.640625577405033	0.452562395620206	-0.935611900170585	-1.01303404341578	0.18757864855033	-1.35319845164993	-0.868039796510691	-0.888884019666918	-0.403933390706882	-1.37016818721849	0.960541522618109	0.241873481322537	-0.628996913987537	-0.577515635289062	-0.752704882105592	0.197355878972912	-1.11274099110819	1.95553073775017	2.18424512047585	1.0763496965809	2.31021017263827	2.65387462133752	1.95898917297943	2.24278888795829	0.573253984139804	2.16233996380568	1.8940121959051	2.0288131600292
COMP	-0.81277606872353	-0.0827736212098266	-1.37747686017793	-1.28446693969007	-0.34269646920113	-0.72436518648939	-0.283565058478799	0.609098618236654	-0.00395318098449772	-1.26608686722851	0.496563689889809	-1.10625903152434	0.441230505865132	-1.17482007872213	0.24043906859616	-1.35875266387501	-0.519865573621438	-1.44077635032461	0.933736045068094	-0.733868793510194	0.45170537830735	0.781967782695265	-0.734045679596875	-0.359819042391911	0.623220560175181	0.202881328227652	-0.0307851922787657	-1.26580384948982	0.836255730753188	-1.26450775689105	0.327245111607497	-1.16347364028917	0.858832827635096	-1.39885434778107	0.246639729962017	-0.857042615943272	0.391223201104905	0.335938258740231	-1.32093441854248	0.499078688431354	-1.17281322566596	-1.36559011515292	-1.14280691314343	-1.43272642532526	-1.5269938450839	-1.24807986360432	-1.36076916526318	-0.858843637916757	-1.37264626195619	-1.43426694233473	-1.42417800317254	-1.38077015750087
CST4	-0.424624629131825	-0.680210079176916	-0.856195339442486	-0.469355430414024	-0.217030862871281	-0.40996641092683	-0.833369161926055	-0.724074462402936	-0.414471784818962	-0.255200516509868	-0.660069797634641	-0.783431975778997	-0.888898682799361	-0.917458972542141	-0.241471728583319	-0.701090754330836	-0.105412587652045	-0.280814984861639	-0.730919165046752	-0.3872347517438	-1.22286346081754	-0.483099971396141	-0.406973330369119	-0.705107783500394	-0.552492181168314	-0.666008699583361	-0.321709917113299	-0.67653961722983	0.123282396540356	0.792661233688866	-0.813788113856404	-0.718363979759937	1.91045079754905	-0.75234332061773	-0.715323640035526	-0.678280329869972	-0.751272112839181	-0.654044253880303	-0.756431238537339	-0.617260869131603	-1.00355729774301	-0.00524678382994225	-0.331067232120035	-0.329996024341486	-0.893774253497314	-0.501389268909305	-0.674814657645255	-0.487124877093483	-0.136650896841198	-0.347552804770791	-0.19399989563248	-0.290471607924146
CTCF	-0.267548097480783	-1.23775908352036	-0.596309387693244	-1.44861943045427	0.311498064946473	0.641426937193087	-0.277037806779645	0.552591333913674	1.97960015918755	0.332762963270626	-0.394541275323165	-0.336708701376165	1.06672490367619	0.558131138033169	-0.271473160489211	1.28481432235348	-0.407359835527913	-0.556487387677331	-0.914264333547055	0.370547905269508	-0.649397106990816	0.924056315971024	1.20007767727907	0.056145389860035	1.56148158010595	0.620907303997115	0.516570186051495	0.74792532401044	-0.27072789536103	-0.742207457620539	-0.550699161848446	1.07872367223994	0.51299291343622	0.188280897086884	0.261838565238546	-0.478607181782207	-1.65361702504647	0.00705726008371501	-2.33970810205175	0.179188662523051	-0.152181055638053	-3.09900905681553	-2.71827794499777	-0.827465788284672	-0.302004188573775	-0.223428401892347	-1.46422031380423	-1.10326357005426	-1.84072825656229	-0.41593038450202	0.459308982036102	-0.436450017697992
CXCL2	-0.0822086991771921	1.07131684987694	-1.42586457584561	0.537178655550758	0.168898936809438	0.00281904761393071	-1.28348578359431	0.962233744364571	-0.790845420205944	0.479640638597144	1.52290712985125	0.173391172954354	-0.57100138604275	0.290238515746761	0.549513853815056	0.258020375246311	0.129782532261702	-0.258193157222333	-0.116552410339858	1.16663786941194	1.61414921864788	0.689452176046774	1.07598129660791	1.39748369987309	-0.649150549996422	-0.536342775522719	-0.543285322292134	0.112502430026274	-0.601172680720325	-0.0579270065428425	-0.809808265882293	0.353129821775586	-0.388305635443759	1.85907695474621	0.565829576768552	0.583719796508875	-0.308950997387672	1.0533921880194	0.623239665858235	-1.37479675662537	-0.447890498220247	0.303577455712661	0.888399685667297	0.672078588064629	2.59437187449693	1.72008333058659	1.2562513380947	2.19218635151178	1.4650984962624	0.369868690740542	1.18099039168436	0.464771484566546
DLK1	-0.466705156065652	-0.490597083626464	-0.482306313523635	-0.46502870156713	-0.483136370916666	3.4413226962518	1.33237234859319	-0.467365280449086	-0.0941499081221111	1.76617537472641	2.09367223158686	-0.435251209577783	-0.439430908025366	-0.433829654593656	-0.43377736751378	-0.432819860363552	-0.443153094524034	-0.249390248273774	2.07076395471621	-0.257380367667315	-0.424891831877362	0.308427927497695	-0.454460175547206	-0.43831653963551	-0.25735749206987	1.33922522399943	2.8532564447721	-0.435761008606573	-0.432042090050397	-0.435434214357348	-0.436617209539542	-0.435280621060213	1.30269289487861	-0.455607223361984	-0.429068262382453	-0.435274085175228	-0.433251228772528	-0.431891764695754	-0.435551860287069	-0.439983190306555	-0.446398161418834	0.545804734249473	-0.403875693709727	-0.438813266894331	2.39299942416415	-0.511142638075216	2.79927003480019	1.79786461307372	1.7316626340658	0.55807912625035	2.6044679828374	2.670382382906
DLL1	-1.18005966959357	-1.03444019788248	-1.21517950940213	-0.977464224756165	0.902683218781584	-0.512220113855311	-0.36474235935824	0.641850214339303	-0.183875184344144	-1.12632290499328	1.2483408654411	0.370933042301506	0.589519948177953	-1.00150256171251	1.17202340772118	-1.524344914746	-0.287291178654211	0.114140524283803	0.238560228615302	-0.578189152757851	-0.863273599980558	1.07230693051716	-0.374852099652646	2.18794149228051	-0.45994099309174	-0.719060626708409	0.82035617682258	-1.00471619753965	1.12636761597005	-0.292184088375113	-1.33175691940744	-0.254711560268696	-1.24603723272907	-1.10849020963418	-0.0935353633996921	0.501788542520253	-0.425110977203928	0.820901727732228	-1.03293140864799	-1.01850840647418	-1.3243237882635	-0.671324922114247	-0.888582047648427	1.9435346847584	1.79717360477951	1.26547457369722	0.258933145397453	-0.18651769656275	-0.0268588131612034	1.06674060639216	0.36395169550461	-0.0790356431292154
E2F6	1.26369664499479	0.829967416334612	0.730409550665346	1.5018440362454	1.16713001538525	0.644682842882863	0.949802156532636	0.0246234317058099	0.590920007154525	0.395761707594124	0.808459634931719	1.82631373537889	0.153021577791632	-1.03542562696439	1.24672865991263	1.28517795528211	1.16403289486323	0.477120681307097	0.728516865901892	1.15889749844211	0.425832894884814	0.199888687913258	0.789294547257019	-0.316787781394261	1.09801393262469	-0.208679745394983	0.983566064445732	-0.267498564197724	0.275529900662508	0.259647231318833	1.24034912105959	0.394120498428611	0.726266821078205	-1.49377299310726	1.27558217588697	-0.384037650506936	1.20253513246386	0.468914635479532	0.582078654553212	-0.239293590554916	0.736153782744642	-3.68562106920771	-2.39266590017031	-1.58663366653661	-0.441188789028591	-0.819381617217055	-1.91046805889635	-2.35628135181551	-1.61528864914416	-0.843245327905925	-0.347785457729998	-1.08807667583867
